rank,category,modality,name,number,country,event_name,Qualification,Final,Semi-Final
6,Women RP3,Lead,Dina EIVIK,61 •,NOR,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,5.0 (6),,
7,Women RP3,Lead,Jaqueline FRITZ,63 •,GER,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,6.93 (7),,
8,Women RP3,Lead,Manca SMREKAR,68 •,SLO,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,7.0 (8),,
9,Women RP3,Lead,Tânia CHAVES,76 •,POR,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,9.0 (9),,
,Women RP3,Lead,Stefania DANIELE,77 •,ITA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,DSQ,,
1,Juniors Male,Lead,Luka POTOCAR,202 •,SLO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",Top  1. | 43+  1. [1.73] (1),43+ (1),Top (1)
2,Juniors Male,Lead,Stefan SCHERZ,7 •,AUT,"European Youth Championships (L,S) - Voronezh (RUS) 2019",37+  4. | 43+  1. [3.00] (2),41 (2),42+ (3)
3,Juniors Male,Lead,Alistair DUVAL,72 •,FRA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",Top  1. | 32   10. [3.87] (4),39+ (3),43+ (2)
4,Juniors Male,Lead,Harold PEETERS,15 •,BEL,"European Youth Championships (L,S) - Voronezh (RUS) 2019",29+  12. | 39+  5. [7.91] (8),35 (4),41+ (4)
5,Juniors Male,Lead,Jonas BRANDENBURGER,92 •,GER,"European Youth Championships (L,S) - Voronezh (RUS) 2019",37+  4. | 32+  8. [6.18] (7),33+ (5),38+ (8)
6,Juniors Male,Lead,Nicolai UZNIK,8 •,AUT,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35   7. | 40+  4. [5.29] (5),30+ (6),38+ (7)
7,Juniors Male,Lead,Ziga ZAJC,203 •,SLO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",38   3. | 31   11. [5.74] (6),30 (7),39+ (5)
8,Juniors Male,Lead,Peter KURIC,211 •,SVK,"European Youth Championships (L,S) - Voronezh (RUS) 2019",22+  15. | 28+  12. [13.92] (14),16+ (8),39 (6)
9,Juniors Male,Lead,Simon POTUCEK,39 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",32   9. | 33+  7. [7.94] (9),,29+ (9)
10,Juniors Male,Lead,Stepan POTUCEK,40 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",29   14. | 25+  14. [14.00] (15),,26+ (10)
11,Juniors Male,Lead,Aleksei IAKUSHEV,171 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",33+  8. | 32+  8. [8.25] (10),,23+ (11)
12,Juniors Male,Lead,Albert ILSAAS SUTHURST,144 •,NOR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",15+  18. | 24   17. [17.49] (18),,23+ (12)
13,Juniors Male,Lead,Mathieu MIQUEL,73 •,FRA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",29+  12. | 39   6. [8.66] (11),,22+ (13)
14,Juniors Male,Lead,Sergei TIUPYSHEV,173 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35+  6. | 43+  1. [3.46] (3),,20 (14)
15,Juniors Male,Lead,Grigorii PESTOV,172 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",30   11. | 28+  12. [11.73] (12),,20 (15)
16,Juniors Male,Lead,Bohdan BOTNAR,216 •,UKR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",22+  15. | 21+  18. [16.70] (17),,16+ (16)
17,Juniors Male,Lead,Egor DULUB,170 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",30+  10. | 24+  15. [12.45] (13),,14+ (17)
18,Juniors Male,Lead,Frederik VIBERG,49 •,DEN,"European Youth Championships (L,S) - Voronezh (RUS) 2019",13+  19. | 10   19. [19.00] (19),,12 (18)
19,Juniors Male,Lead,Leonid OSADCHYI,217 •,UKR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",16   17. | 24+  15. [16.23] (16),,8 (19)
1,Youth A Male,Lead,Paul JENFT,77 •,FRA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",Top  1. | 41   5. [2.74] (3),37 (1),44+ (1)
2,Youth A Male,Lead,Davide Marco COLOMBO,125 •,ITA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  4. | 43   3. [3.46] (4),32+ (2),41+ (2)
3,Youth A Male,Lead,Giorgio TOMATIS,127 •,ITA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",16   21. | 38   6. [11.49] (13),31+ (3),37+ (5)
4,Youth A Male,Lead,Jakub ZIETEK,146 •,POL,"European Youth Championships (L,S) - Voronezh (RUS) 2019",26   11. | 33+  7. [8.77] (9),31+ (4),36+ (8)
5,Youth A Male,Lead,Jan VOPAT,44 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",16   21. | 27   13. [16.91] (16),29 (5),37+ (6)
6,Youth A Male,Lead,Semen OVCHINNIKOV,182 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35+  5. | 30   10. [7.94] (7),28 (6),36+ (7)
7,Youth A Male,Lead,Thomas PODOLAN,10 •,AUT,"European Youth Championships (L,S) - Voronezh (RUS) 2019",Top  1. | 43+  1. [1.50] (1),24+ (7),41 (3)
8,Youth A Male,Lead,Andrej POLAK,204 •,SLO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",37+  3. | 43+  1. [2.12] (2),24+ (8),40+ (4)
9,Youth A Male,Lead,Leto CAVÉ,140 •,NED,"European Youth Championships (L,S) - Voronezh (RUS) 2019",29+  10. | 41+  4. [6.32] (5),,30+ (9)
10,Youth A Male,Lead,Igor BOBRENEV,180 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",22+  14. | 30+  9. [11.42] (12),,30+ (10)
11,Youth A Male,Lead,Héctor BAZAN MARTÍN,58 •,ESP,"European Youth Championships (L,S) - Voronezh (RUS) 2019",22+  14. | 24   20. [17.24] (17),,29+ (11)
12,Youth A Male,Lead,Mischa RADT,142 •,NED,"European Youth Championships (L,S) - Voronezh (RUS) 2019",16+  18. | 25+  14. [16.60] (15),,28+ (12)
13,Youth A Male,Lead,Viacheslav VOLKOV,183 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35+  5. | 27+  12. [8.49] (8),,28 (13)
14,Youth A Male,Lead,Joshua FOURTEAU,76 •,FRA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",33+  8. | 25+  14. [10.77] (11),,23+ (14)
15,Youth A Male,Lead,Artem KOSKOV,181 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",20+  16. | 24   20. [18.39] (19),,23+ (15)
16,Youth A Male,Lead,Luca MALOSTI,126 •,ITA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",15+  24. | 25   16. [20.00] (22),,20+ (16)
17,Youth A Male,Lead,Albert MUSIL,42 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",16+  18. | 17+  25. [21.79] (24),,20+ (17)
18,Youth A Male,Lead,Jakub FABRIC,212 •,SVK,"European Youth Championships (L,S) - Voronezh (RUS) 2019",16   21. | 21+  22. [22.00] (25),,20+ (18)
19,Youth A Male,Lead,Ties VANCRAEYNEST,16 •,BEL,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35+  5. | 32   8. [6.93] (6),,20 (19)
20,Youth A Male,Lead,Iwan PASVEER,141 •,NED,"European Youth Championships (L,S) - Voronezh (RUS) 2019",23+  13. | 21   23. [17.29] (18),,20 (20)
21,Youth A Male,Lead,Paul BRAND,139 •,NED,"European Youth Championships (L,S) - Voronezh (RUS) 2019",25   12. | 24+  17. [14.70] (14),,19+ (21)
22,Youth A Male,Lead,Jachym CINK,41 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",16+  18. | 24+  17. [18.49] (20),,19+ (22)
23,Youth A Male,Lead,Matey MITSEV,20 •,BUL,"European Youth Championships (L,S) - Voronezh (RUS) 2019",20+  16. | 19   24. [19.90] (21),,16+ (23)
24,Youth A Male,Lead,Ondrej SLEZAK,43 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",30+  9. | 30   10. [9.72] (10),,13+ (24)
25,Youth A Male,Lead,Örjan RÖDLAND VAAGE,145 •,NOR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",15+  24. | 24+  17. [21.21] (23),,13+ (25)
26,Youth A Male,Lead,Mor OFER,108 •,ISR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",15+  24. | 14+  26. [25.50] (26),,9+ (26)
1,Youth B Male,Lead,Gergő VÁLYI,102 •,HUN,"European Youth Championships (L,S) - Voronezh (RUS) 2019",44+  1. | 31+  6. [3.08] (3),Top (1),Top (1)
2,Youth B Male,Lead,Toby ROBERTS,85 •,GBR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",40+  2. | 35+  2. [2.24] (1),Top (2),54+ (2)
3,Youth B Male,Lead,Mejdi SCHALCK,81 •,FRA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",38   10. | 36   1. [3.24] (4),46+ (3),47+ (3)
4,Youth B Male,Lead,Luka JERMAN,206 •,SLO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",38+  5. | 28   21. [12.12] (13),41+ (4),47+ (5)
5,Youth B Male,Lead,Matvey SIDELNIKOV,191 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35+  18. | 31   14. [16.16] (19),40+ (5),46+ (6)
6,Youth B Male,Lead,Till VON BOTHMER,97 •,GER,"European Youth Championships (L,S) - Voronezh (RUS) 2019",38   10. | 31+  6. [9.99] (9),40+ (6),43+ (8)
7,Youth B Male,Lead,Anselmo BAZZANI,132 •,ITA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",37+  12. | 32   4. [7.35] (5),39+ (7),47+ (4)
8,Youth B Male,Lead,Slav KIROV,21 •,BUL,"European Youth Championships (L,S) - Voronezh (RUS) 2019",38+  5. | 31+  6. [8.15] (7),14 (8),43+ (7)
9,Youth B Male,Lead,Timotej ROMŠAK,208 •,SLO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",37   13. | 27+  22. [17.23] (21),,39 (9)
10,Youth B Male,Lead,Vladislav SHUNEVICH,190 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",40+  2. | 33+  3. [2.74] (2),,37+ (10)
11,Youth B Male,Lead,Illia BAKHMET-SMOLENSKYI,219 •,UKR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",39+  4. | 29+  16. [8.25] (8),,37+ (11)
12,Youth B Male,Lead,Emil ZIMMERMANN,98 •,GER,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  15. | 29+  16. [16.49] (20),,37+ (12)
13,Youth B Male,Lead,Nimród Sebestyén TUSNÁDY,101 •,HUN,"European Youth Championships (L,S) - Voronezh (RUS) 2019",31+  21. | 19+  25. [23.92] (24),,37+ (13)
14,Youth B Male,Lead,Jaka JAKI,205 •,SLO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  15. | 31+  6. [12.33] (14),,36+ (14)
15,Youth B Male,Lead,Attila Zsombor RADICS,100 •,HUN,"European Youth Championships (L,S) - Voronezh (RUS) 2019",31+  21. | 23   24. [22.98] (23),,36+ (15)
16,Youth B Male,Lead,Tim KOROSEC,207 •,SLO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",33+  19. | 31+  6. [13.44] (16),,35+ (16)
17,Youth B Male,Lead,David ZINSLER,11 •,AUT,"European Youth Championships (L,S) - Voronezh (RUS) 2019",38+  5. | 28+  20. [11.83] (12),,35 (17)
18,Youth B Male,Lead,Adam ADAMOVSKY,46 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",37   13. | 32   4. [7.79] (6),,34+ (18)
19,Youth B Male,Lead,Lluc MACIÀ LLOBET,59 •,ESP,"European Youth Championships (L,S) - Voronezh (RUS) 2019",38+  5. | 31   14. [10.07] (10),,33+ (19)
20,Youth B Male,Lead,Illia MANIAKIN,220 •,UKR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  15. | 31+  6. [12.33] (14),,33+ (20)
21,Youth B Male,Lead,Victor GUILLERMIN,80 •,FRA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",38+  5. | 29   19. [11.53] (11),,33 (21)
22,Youth B Male,Lead,Michel SIEDLER,96 •,GER,"European Youth Championships (L,S) - Voronezh (RUS) 2019",33   20. | 31+  6. [13.78] (17),,33 (22)
23,Youth B Male,Lead,Alexander TEPLYKH,192 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",26   25. | 24   23. [23.98] (25),,33 (23)
24,Youth B Male,Lead,Maksym VNUKOV,221 •,UKR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",31+  21. | 31+  6. [14.46] (18),,32+ (24)
25,Youth B Male,Lead,Jan GURBA,147 •,POL,"European Youth Championships (L,S) - Voronezh (RUS) 2019",29+  24. | 29+  16. [20.20] (22),,32+ (25)
26,Youth B Male,Lead,Filip HROMADA,213 •,SVK,"European Youth Championships (L,S) - Voronezh (RUS) 2019",24+  27. | 19+  25. [26.74] (26),,14+ (26)
27,Youth B Male,Lead,Kirill BELIANKIN,189 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",22+  29. | 19+  25. [27.46] (27),,
27,Youth B Male,Lead,Magnus Silas Hjorth SIERSLEV,52 •,DEN,"European Youth Championships (L,S) - Voronezh (RUS) 2019",25+  26. | 18+  29. [27.46] (27),,
29,Youth B Male,Lead,Daniel Massimo ROWOLD,51 •,DEN,"European Youth Championships (L,S) - Voronezh (RUS) 2019",24+  27. | 19   28. [27.75] (29),,
30,Youth B Male,Lead,Phillip FYHN,50 •,DEN,"European Youth Championships (L,S) - Voronezh (RUS) 2019",14   30. | 16+  30. [30.00] (30),,
