rank,category,modality,name,number,country,event_name,Qualification,Final,Semi-Final
8,Juniors Female,Lead,Lucie WATILLON,151 •,BEL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",8.99 (8),27 (8),29+ (6)
9,Juniors Female,Lead,Agathe CALLIET,166 •,FRA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",14.42 (14),,28 (9)
10,Juniors Female,Lead,Elisabeth LARDSCHNEIDER,174 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",9.08 (10),,24+ (10)
11,Juniors Female,Lead,Kseniia ZVONAREVA,252 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",17.62 (17),,24+ (11)
12,Juniors Female,Lead,Nika POTAPOVA,200 •,UKR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",5.2 (6),,23+ (12)
13,Juniors Female,Lead,Eliška BULENOVÁ,265 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",20.98 (21),,23+ (13)
14,Juniors Female,Lead,Aida TORRES ILLAMOLA,154 •,ESP,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",13.75 (13),,21+ (14)
15,Juniors Female,Lead,Bianka JANECKA,219 •,POL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",22.45 (24),,21+ (15)
16,Juniors Female,Lead,Adelaide D'ADDARIO,175 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",15.97 (15),,20+ (16)
17,Juniors Female,Lead,Rut MONSECH GASCA,155 •,ESP,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",6.98 (7),,20 (17)
18,Juniors Female,Lead,Nikola KRALIKOVA,267 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",11.75 (12),,19+ (18)
19,Juniors Female,Lead,Pia CULJAK,212 •,CRO,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",17.25 (16),,19+ (19)
20,Juniors Female,Lead,Vanda MICHALKOVA,208 •,SVK,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",18.23 (19),,19+ (20)
21,Juniors Female,Lead,Vana PICCINI,213 •,CRO,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",19.77 (20),,19+ (21)
22,Juniors Female,Lead,Iana GULSTEN,246 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",17.75 (18),,19 (22)
23,Juniors Female,Lead,Ludovica MERENDI,176 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",21.18 (22),,16+ (23)
23,Juniors Female,Lead,Elizaveta TROKINA,222 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",21.18 (22),,16+ (23)
25,Juniors Female,Lead,Kristine RJABOVA,153 •,LAT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",25.0 (25),,13 (25)
1,Youth A Female,Lead,Marketa JANOSOVA,260 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",3.74 (3),37+ (1),31+ (2)
2,Youth A Female,Lead,Liza NOVAK,274 •,SLO,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",1.73 (2),37+ (2),30+ (5)
3,Youth A Female,Lead,Saula LERONDEL,169 •,FRA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",5.92 (6),36 (3),28+ (7)
4,Youth A Female,Lead,Aleksandra TOTKOVA,193 •,BUL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",1.22 (1),33 (4),33+ (1)
5,Youth A Female,Lead,Ariane FRANKEN,164 •,AUT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",5.66 (5),32 (5),31+ (3)
6,Youth A Female,Lead,Eva PUHAR,273 •,SLO,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",9.72 (10),31+ (6),29 (6)
7,Youth A Female,Lead,Annika STÖCKL,162 •,AUT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",8.72 (8),27+ (7),31+ (4)
8,Youth A Female,Lead,Ekaterina ZAVIALOVA,224 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",11.32 (11),22+ (8),27 (8)
9,Youth A Female,Lead,Anja KÖHLER,197 •,SUI,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",8.57 (7),,26+ (9)
10,Youth A Female,Lead,Savina NICELLI,180 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",9.64 (9),,24+ (10)
11,Youth A Female,Lead,Federica PAPETTI,179 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",12.0 (12),,24+ (11)
12,Youth A Female,Lead,Ilia WIELAND,198 •,SUI,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",13.5 (14),,24+ (12)
13,Youth A Female,Lead,Lena SCHRITTWIESER,163 •,AUT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",16.26 (17),,24+ (13)
14,Youth A Female,Lead,Anna-lena WOLF,206 •,GER,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",19.44 (19),,23 (14)
15,Youth A Female,Lead,Viola BATTISTELLA,181 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",13.5 (14),,22+ (15)
16,Youth A Female,Lead,Iziar MARTÍNEZ ALMENDROS,156 •,ESP,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",3.74 (3),,22 (16)
17,Youth A Female,Lead,Anna Maria APEL,204 •,GER,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",13.56 (16),,19+ (17)
18,Youth A Female,Lead,Hana SIKULOVA,261 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",17.75 (18),,19+ (18)
19,Youth A Female,Lead,In En SIM,207 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",22.91 (24),,18+ (19)
20,Youth A Female,Lead,Anja SANTINI MIKULIĆ,214 •,CRO,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",23.98 (25),,18+ (20)
21,Youth A Female,Lead,Daria GLOTOVA,223 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",12.76 (13),,17+ (21)
22,Youth A Female,Lead,Eva KOROSTELEVA,248 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",19.62 (20),,17+ (22)
23,Youth A Female,Lead,Maya SHEMEN,277 •,ISR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",21.45 (22),,17+ (23)
24,Youth A Female,Lead,Eliska SUCHA,262 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",21.45 (22),,15 (24)
25,Youth A Female,Lead,Zuzanna MIENTUS,255 •,POL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",21.35 (21),,5 (25)
1,Youth B Female,Lead,Barbora BERNARDOVA,257 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",1.41 (1),44+ (1),TOP (1)
2,Youth B Female,Lead,Zala MLAKAR STARIČ,275 •,SLO,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",2.45 (2),39+ (2),40.5+ (6)
3,Youth B Female,Lead,Maja OLEKSY,256 •,POL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",11.66 (13),33+ (3),43+ (2)
4,Youth B Female,Lead,Jil COUTURE,199 •,SUI,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",9.19 (9),33 (4),42+ (4)
5,Youth B Female,Lead,Ekaterina KRAMOROVA,227 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",16.31 (18),32+ (5),40.5+ (8)
6,Youth B Female,Lead,Sina WILLY,161 •,AUT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",4.24 (3),30+ (6),43 (3)
7,Youth B Female,Lead,Kseniia ZAKHAROVA,217 •,UKR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",10.2 (11),29+ (7),40.5+ (7)
8,Youth B Female,Lead,Arina JURCENKO,258 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",4.9 (5),27 (8),41 (5)
9,Youth B Female,Lead,Snezhana ERMOLIK,228 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",4.47 (4),,40.5 (9)
10,Youth B Female,Lead,Anna MIHALCIKOVA,259 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",5.41 (6),,40+ (10)
11,Youth B Female,Lead,Anastasiya ZAYKOVA,226 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",8.75 (7),,40+ (11)
12,Youth B Female,Lead,Vanessa KOFLER,182 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",9.22 (10),,40+ (12)
13,Youth B Female,Lead,Leonie HOFER,183 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",22.49 (23),,38+ (13)
14,Youth B Female,Lead,Iuliia NIKITINA,225 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",13.27 (15),,38 (14)
15,Youth B Female,Lead,Anastasia KOBETS,221 •,UKR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",13.86 (16),,38 (15)
16,Youth B Female,Lead,Lina FUNA,276 •,SLO,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",13.04 (14),,37+ (16)
17,Youth B Female,Lead,Maya IOO,159 •,ROU,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",10.95 (12),,34 (17)
18,Youth B Female,Lead,Lea SLOBODOVÁ,211 •,SVK,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",15.68 (17),,32 (18)
19,Youth B Female,Lead,Ada KARLSBRUN,270 •,ISR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",18.44 (20),,24 (19)
20,Youth B Female,Lead,Hadas VIKS,271 •,ISR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",20.99 (21),,24 (20)
21,Youth B Female,Lead,Elsa GIUPPONI,185 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",23.99 (24),,24 (21)
22,Youth B Female,Lead,Lujza MICHALKOVÁ,209 •,SVK,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",22.48 (22),,23+ (22)
23,Youth B Female,Lead,Martina BURŠÍKOVÁ,210 •,SVK,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",17.44 (19),,23 (23)
24,Youth B Female,Lead,Naima GRINGL,160 •,AUT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",8.83 (8),,22+ (24)
25,Youth B Female,Lead,Andrea RODRÍGUEZ SALAS,158 •,ESP,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",26.25 (26),,21+ (25)
26,Youth B Female,Lead,Katsiaryna HRYSHCHANKOVA,202 •,BLR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",24.75 (25),,19+ (26)
27,Youth B Female,Lead,Katsiaryna HANCHAREVICH,201 •,BLR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",26.75 (27),,
1,Men B1,Lead,Koichiro KOBAYASHI,6 •,JPN,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.22 (1),41 (1),
2,Men B1,Lead,Razvan NEDU,1 •,ROU,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.73 (2),35+ (2),
3,Men B1,Lead,Jesse DUFTON,3 •,GBR,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,3.0 (3),32+ (3),
4,Men B1,Lead,Justen PROCTOR,4 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,4.0 (4),,
5,Men B1,Lead,Eris SKENDERI,2 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,5.24 (5),,
6,Men B1,Lead,Bill CASSON,5 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,5.74 (6),,
1,Men B3,Lead,Simone SALVAGNIN,8 •,ITA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.0 (1),34+ (1),
2,Men B3,Lead,Connor GEAREY,7 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,2.0 (2),22 (2),
1,Women B3,Lead,Edith SCHEINECKER,52 •,AUT,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.41 (1),47+ (1),
2,Women B3,Lead,Tanja GLUSIC,53 •,SLO,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,2.0 (2),38+ (2),
3,Women B3,Lead,Ionela GRECU,51 •,ROU,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,2.45 (3),38 (3),
1,Men AL2,Lead,Frederik LEYS,10 •,BEL,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.0 (1),43 (1),
2,Men AL2,Lead,Jake SANCHEZ,14 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,2.24 (2),25+ (2),
3,Men AL2,Lead,Colin TORPEY,9 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,3.16 (3),25+ (3),
4,Men AL2,Lead,Kyle LONG,13 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,3.87 (4),,
5,Men AL2,Lead,Steven HINSON,12 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,4.47 (5),,
6,Men AL2,Lead,Jeremy RITCHIE,11 •,CAN,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,6.0 (6),,
1,Women AL2,Lead,Hannah MCFADDEN,57 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.58 (1),22 (1),
2,Women AL2,Lead,Emily GRAY,58 •,RSA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,2.24 (3),21+ (2),
3,Women AL2,Lead,Jaqueline FRITZ,59 •,GER,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.73 (2),21 (3),
4,Women AL2,Lead,Meaghan CUSACK,54 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,4.0 (4),,
5,Women AL2,Lead,Deborah BEVILACQUA,56 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,5.0 (5),,
6,Women AL2,Lead,Lauren PINE,55 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,6.0 (6),,
1,Women AU2,Lead,Solenne PIRET,60 •,FRA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.41 (1),47+ (1),
2,Women AU2,Lead,Lucia CAPOVILLA,64 •,ITA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.41 (1),33+ (2),
3,Women AU2,Lead,Maureen BECK,62 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,3.46 (3),24+ (3),
4,Women AU2,Lead,Giovanna DUBUC,63 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,3.46 (3),16+ (4),
5,Women AU2,Lead,Corinna WIMMER,61 •,GER,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,5.0 (5),,
1,Men RP1,Lead,Angelino ZELLER,22 •,AUT,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.58 (2),47 (1),
2,Men RP1,Lead,Korbinian FRANCK,17 •,GER,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.41 (1),46 (2),
3,Men RP1,Lead,Tanner CISLAW,21 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,4.24 (4),33+ (3),
4,Men RP1,Lead,Elliott NGUYEN,15 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,3.16 (3),18 (4),
5,Men RP1,Lead,Sunny YANG,19 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,4.47 (5),,
6,Men RP1,Lead,Joshua UNTERMAN,16 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,5.48 (6),,
7,Men RP1,Lead,Mario PERSING,18 •,GER,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,7.48 (7),,
7,Men RP1,Lead,Carlos QUILES,20 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,7.48 (7),,
1,Men RP2,Lead,Mor Michael SAPIR,24 •,ISR,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.58 (1),56+ (1),
2,Men RP2,Lead,Manikandan KUMAR,26 •,IND,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,2.5 (2),52+ (3:04) (2),
2,Men RP2,Lead,Brian ZARZUELA,23 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,2.5 (2),52+ (3:04) (2),
4,Men RP2,Lead,Benjamin MAYFORTH,27 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,3.16 (4),52+ (4),
5,Men RP2,Lead,Matthew LYNCH,29 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,5.24 (5),,
6,Men RP2,Lead,Atticus MATKIN,28 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,5.74 (6),,
7,Men RP2,Lead,Leorenz CAPILI,25 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,7.0 (7),,
1,Men RP3,Lead,Micah WINKLE,32 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.41 (1),40+ (1),
2,Men RP3,Lead,Jared LENAHAN,31 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.41 (1),32+ (2),
3,Men RP3,Lead,Shamus BOULIANNE,30 •,CAN,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,3.0 (3),22+ (3),
1,Women RP2,Lead,Jasmin PLANK,65 •,AUT,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.41 (1),29+ (1),
2,Women RP2,Lead,Pavitra VANDENHOVEN,72 •,BEL,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.58 (2),29+ (2),
3,Women RP2,Lead,Emily SEELENFREUND,66 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,2.74 (3),21 (3),
4,Women RP2,Lead,Caroline WINSTEL,71 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,4.9 (4),16+ (4),
5,Women RP2,Lead,Melissa RUIZ,68 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,5.48 (5),,
6,Women RP2,Lead,Carlie COOK,67 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,5.66 (6),,
7,Women RP2,Lead,Hannah ZOOK,70 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,6.48 (7),,
8,Women RP2,Lead,Denise STYPULKOWSKI,69 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,6.93 (8),,
1,Women RP3,Lead,Katharina RITT,73 •,AUT,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,1.0 (1),32 (1),
2,Women RP3,Lead,Madisyn TAUTE,75 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,2.45 (2),22+ (2),
3,Women RP3,Lead,Eliana WALLACK,74 •,USA,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,2.45 (2),21+ (3),
1,Men B1,Lead,Sho AITA,48 •,JPN,IFSC - Paraclimbing World Championships (L) - Moscow 2021,3.46 (2),TOP (1),
2,Men B1,Lead,Razvan NEDU,63 •,ROU,IFSC - Paraclimbing World Championships (L) - Moscow 2021,3.46 (2),35+ (2),
3,Men B1,Lead,Jesse DUFTON,28 •,GBR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,2.0 (1),23 (3),
4,Men B1,Lead,Artem BONDARENKO,16 •,CFR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,3.46 (2),16+ (4),
5,Men B1,Lead,Koichiro KOBAYASHI,53 •,JPN,IFSC - Paraclimbing World Championships (L) - Moscow 2021,4.47 (5),,
6,Men B1,Lead,Angelo Sebastian SIMIONESCU,57 •,ROU,IFSC - Paraclimbing World Championships (L) - Moscow 2021,4.9 (6),,
7,Men B1,Lead,Daniil LISICHENKO,7 •,CFR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,5.29 (7),,
8,Men B1,Lead,Alexandru BENCHEA,56 •,ROU,IFSC - Paraclimbing World Championships (L) - Moscow 2021,8.0 (8),,
9,Men B1,Lead,Murali -,41 •,IND,IFSC - Paraclimbing World Championships (L) - Moscow 2021,9.49 (9),,
9,Men B1,Lead,Nikita KHAVER,8 •,CFR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,9.49 (9),,
1,Men B2,Lead,Fumiya HAMANOUE,49 •,JPN,IFSC - Paraclimbing World Championships (L) - Moscow 2021,2.45 (2),40+ (1),
2,Men B2,Lead,Richard SLOCOCK,27 •,GBR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,1.73 (1),38+ (2),
3,Men B2,Lead,Raul SIMON FRANCO,19 •,ESP,IFSC - Paraclimbing World Championships (L) - Moscow 2021,3.24 (3),38+ (3),
4,Men B2,Lead,Guillermo PELEGRÍN,18 •,ESP,IFSC - Paraclimbing World Championships (L) - Moscow 2021,3.24 (3),17 (4),
5,Men B2,Lead,Simone SALVAGNIN,47 •,ITA,IFSC - Paraclimbing World Championships (L) - Moscow 2021,3.87 (5),,
6,Men B2,Lead,Valentin-laurentiu MOISE,61 •,ROU,IFSC - Paraclimbing World Championships (L) - Moscow 2021,6.0 (6),,
7,Men B2,Lead,Vasile-valentin ANDRIES,62 •,ROU,IFSC - Paraclimbing World Championships (L) - Moscow 2021,7.0 (7),,
1,Men B3,Lead,Cosmin Florin CANDOI,59 •,ROU,IFSC - Paraclimbing World Championships (L) - Moscow 2021,2.12 (1),,
1,Men B3,Lead,Kazuhiro MINOWADA,51 •,JPN,IFSC - Paraclimbing World Championships (L) - Moscow 2021,2.12 (1),,
3,Men B3,Lead,Lux LOSEY SAIL,33 •,GBR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,3.0 (3),,
4,Men B3,Lead,Sergei SHARAPOV,17 •,CFR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,3.46 (4),,
5,Men B3,Lead,Robert Andrei AL-RADI,60 •,ROU,IFSC - Paraclimbing World Championships (L) - Moscow 2021,3.87 (5),,
1,Women B2,Lead,Abigail ROBINSON,97 •,GBR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,1.58 (1),TOP (1),
2,Women B2,Lead,Edith SCHEINECKER,81 •,AUT,IFSC - Paraclimbing World Championships (L) - Moscow 2021,2.24 (2),40+ (2),
3,Women B2,Lead,Nadia BREDICE,104 •,ITA,IFSC - Paraclimbing World Championships (L) - Moscow 2021,2.74 (3),35 (3),
4,Women B2,Lead,Oxana OSADCHAYA,85 •,CFR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,3.16 (4),17 (4),
5,Women B2,Lead,Monika BUZAS,112 •,ROU,IFSC - Paraclimbing World Championships (L) - Moscow 2021,5.24 (5),,
6,Women B2,Lead,Sujatha MANCHIPATTANA KRISHNEGOWDA,101 •,IND,IFSC - Paraclimbing World Championships (L) - Moscow 2021,6.2 (6),,
7,Women B2,Lead,Ariana PERO,113 •,ROU,IFSC - Paraclimbing World Championships (L) - Moscow 2021,6.48 (7),,
1,Women B3,Lead,Ionela GRECU,111 •,ROU,IFSC - Paraclimbing World Championships (L) - Moscow 2021,1.41 (1),,
2,Women B3,Lead,Tanja GLUSIC,115 •,SLO,IFSC - Paraclimbing World Championships (L) - Moscow 2021,2.0 (2),,
3,Women B3,Lead,Sunita DHONDAPPANAVAR,102 •,IND,IFSC - Paraclimbing World Championships (L) - Moscow 2021,2.65 (3),,
4,Women B3,Lead,Iben Kongsvik PAULSEN,109 •,NOR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,3.74 (4),,
1,Men AL2,Lead,Thierry DELARUE,25 •,FRA,IFSC - Paraclimbing World Championships (L) - Moscow 2021,2.24 (1),23+ (1),
2,Men AL2,Lead,Frederik LEYS,2 •,BEL,IFSC - Paraclimbing World Championships (L) - Moscow 2021,2.65 (2),16+ (2),
3,Men AL2,Lead,Shuhei YUKI,52 •,JPN,IFSC - Paraclimbing World Championships (L) - Moscow 2021,3.46 (4),16+ (3),
4,Men AL2,Lead,Albert GUARDIA FERRER,21 •,ESP,IFSC - Paraclimbing World Championships (L) - Moscow 2021,3.16 (3),14+ (4),
5,Men AL2,Lead,Urko CARMONA BARANDIARAN,20 •,ESP,IFSC - Paraclimbing World Championships (L) - Moscow 2021,4.24 (5),,
6,Men AL2,Lead,Iván GERMÁN PASCUAL,22 •,ESP,IFSC - Paraclimbing World Championships (L) - Moscow 2021,4.9 (6),,
7,Men AL2,Lead,Sebastian MENZE,55 •,NOR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,5.2 (7),,
8,Men AL2,Lead,Stuart SNEDDON,29 •,GBR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,6.71 (8),,
9,Men AL2,Lead,Jake SANCHEZ,70 •,USA,IFSC - Paraclimbing World Championships (L) - Moscow 2021,7.75 (9),,
10,Men AL2,Lead,Steven HINSON,74 •,USA,IFSC - Paraclimbing World Championships (L) - Moscow 2021,10.49 (10),,
10,Men AL2,Lead,Evgenii SMIRNOV,4 •,CFR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,10.49 (10),,
12,Men AL2,Lead,Vladimir PYZIN,6 •,CFR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,12.0 (12),,
13,Men AL2,Lead,Andrey TIHOMIROV,5 •,CFR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,13.49 (13),,
13,Men AL2,Lead,Aleksandr UKHATKIN,15 •,CFR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,13.49 (13),,
1,Men AU2,Lead,Matthew PHILLIPS,31 •,GBR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,2.6 (3),44+ (1),
2,Men AU2,Lead,Brian ZARZUELA,69 •,USA,IFSC - Paraclimbing World Championships (L) - Moscow 2021,2.45 (2),35+ (2),
3,Men AU2,Lead,Kevin BARTKE,34 •,GER,IFSC - Paraclimbing World Championships (L) - Moscow 2021,1.22 (1),35 (3),
4,Men AU2,Lead,Maksim MAIOROV,11 •,CFR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,3.46 (4),34 (4),
5,Men AU2,Lead,Vasiliy RAGOZIN,3 •,CFR,IFSC - Paraclimbing World Championships (L) - Moscow 2021,6.0 (5),,
6,Men AU2,Lead,Matthew LYNCH,68 •,USA,IFSC - Paraclimbing World Championships (L) - Moscow 2021,6.24 (6),,
