Year,Event Title,Href
2002,UIAA Worldcup - Bolzano (ITA) 2002,https://ifsc.results.info/event/275/
2002,UIAA Worldcup - Yekaterinburg (RUS) 2002 - Red Cards withdrawn,https://ifsc.results.info/event/276/
2002,2. UIAA Worldcup - Yekaterinburg (RUS) 2002,https://ifsc.results.info/event/277/
2002,3. UIAA Worldcup - Yekaterinburg (RUS) 2002,https://ifsc.results.info/event/278/
2002,UIAA Worldcup - Imst (AUT) 2002,https://ifsc.results.info/event/279/
2002,UIAA Worldcup - Fiera di Primiero (ITA) 2002,https://ifsc.results.info/event/280/
2002,European Youth Cup - Imst (AUT) 2002,https://ifsc.results.info/event/293/
2002,European Youth Cup - Arco (ITA) 2002,https://ifsc.results.info/event/294/
2002,Rock Junior - Arco (ITA) 2002,https://ifsc.results.info/event/301/
2002,UIAA Worldcup - Lecco (ITA) 2002 - speed,https://ifsc.results.info/event/281/
2002,UIAA Worldcup - Lecco (ITA) 2002 - boulder,https://ifsc.results.info/event/282/
2002,UIAA Worldcup - Lecco (ITA) 2002 - difficulty,https://ifsc.results.info/event/283/
2002,UIAA European Championship - Chamonix (FRA) 2002,https://ifsc.results.info/event/292/
2002,Int. Event - Serre Chevalier (FRA) 2002,https://ifsc.results.info/event/302/
2002,Int. Event - L'Argentière (FRA) 2002,https://ifsc.results.info/event/303/
2002,Int. Event - Speed Rock - Daone (ITA),https://ifsc.results.info/event/304/
2002,UIAA Worldcup - Singapore (SIN) 2002,https://ifsc.results.info/event/284/
2002,Int. Event - Arco Rockmaster (ITA) 2002,https://ifsc.results.info/event/305/
2002,UIAA Worldcup - Rovereto (ITA) 2002,https://ifsc.results.info/event/285/
2002,UIAA Youth World Championship Speed - Canteleu (FRA) 2002,https://ifsc.results.info/event/288/
2002,UIAA World Youth Championship - Canteleu (FRA) 2002,https://ifsc.results.info/event/289/
2002,UIAA Asian Championship - Toyama (JPN) 2002,https://ifsc.results.info/event/290/
2002,UIAA Worldcup - Aprica (ITA) 2002,https://ifsc.results.info/event/286/
2002,UIAA North American Youth Championship 2002,https://ifsc.results.info/event/298/
2002,European Youth Cup - Veliko Tarnovo (BUL) 2002,https://ifsc.results.info/event/295/
2002,UIAA Worldcup - Kranj (SLO) 2002,https://ifsc.results.info/event/287/
2002,European Youth Cup - Kranj (SLO) 2002,https://ifsc.results.info/event/296/
2002,Int. Event - Schengzheng (CHN) 2002,https://ifsc.results.info/event/306/
2002,Asian Youth Championship - Malaysia 2002,https://ifsc.results.info/event/291/
2003,UIAA North American Youth Championship - not confirmed,https://ifsc.results.info/event/333/
2003,Int. Event - Birmingham (GBR) 2003,https://ifsc.results.info/event/335/
2003,Int. Event - Open Youth Marseille (FRA) 2003,https://ifsc.results.info/event/336/
2003,Nordic Championships - Oslo (NOR) 2003,https://ifsc.results.info/event/334/
2003,European Youth Cup - Imst (AUT) 2003,https://ifsc.results.info/event/328/
2003,UIAA Worldcup - Imst (AUT) 2003,https://ifsc.results.info/event/307/
2003,Panamerican Championships - Mexico City (MEX) 2003,https://ifsc.results.info/event/332/
2003,Rock Junior - Arco (ITA) 2003,https://ifsc.results.info/event/337/
2003,UIAA Worldcup - Yekaterinburg (RUS) 2003 (B+S),https://ifsc.results.info/event/308/
2003,European Youth Cup - Arco (ITA) 2003,https://ifsc.results.info/event/329/
2003,UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),https://ifsc.results.info/event/309/
2003,Spiderkids - Youth Color Climbing Festival - Imst (AUT) 2003,https://ifsc.results.info/event/338/
2003,UIAA Worldcup - Yekaterinburg (RUS) 2003 (D+S),https://ifsc.results.info/event/310/
2003,UIAA Worldcup - Fiera di Primiero (ITA) 2003,https://ifsc.results.info/event/311/
2003,UIAA Worldcup - Lecco (ITA) 2003 (speed),https://ifsc.results.info/event/312/
2003,UIAA Worldcup - Lecco (ITA) 2003 (boulder),https://ifsc.results.info/event/313/
2003,UIAA Worldcup - Lecco (ITA) 2003 (difficulty),https://ifsc.results.info/event/314/
2003,"Spiderkids - 6. Int Trophy ""Citta'di Ravenna"" (ITA) 2003",https://ifsc.results.info/event/339/
2003,Int. Event - Speed Rock Daone (ITA) 2003 - not confirmed,https://ifsc.results.info/event/340/
2003,"Int. Event - Master/Event of Daroca, Zaragosa (ESP) 2003",https://ifsc.results.info/event/341/
2003,UIAA Worldchampionship - Chamonix (FRA) 2003,https://ifsc.results.info/event/315/
2003,Int. Event - Serre Chevalier (FRA) 2003,https://ifsc.results.info/event/342/
2003,UIAA Worldcup - L'Argentière (FRA) 2003,https://ifsc.results.info/event/316/
