rank,category,modality,name,number,country,event_name,Qualification,Semi-Final,Final
2,Youth B Male,Boulder,Sorato ANRAKU,101 •,JPN,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",6T6z 6 6 (1),4T4z 6 5 (1),3T4z 11 16 (2)
3,Youth B Male,Boulder,Augustine CHI,193 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T6z 3 7 (12),3T4z 8 8 (5),2T3z 4 4 (3)
4,Youth B Male,Boulder,Dillon COUNTRYMAN,194 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T6z 4 9 (5),3T4z 8 9 (6),2T3z 4 5 (4)
5,Youth B Male,Boulder,Hugo HOYER,204 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T4z 4 4 (11),4T4z 14 11 (2),2T2z 3 3 (5)
6,Youth B Male,Boulder,Rhys CONLON,56 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T5z 4 6 (15),3T4z 7 7 (4),0T2z 0 6 (6)
7,Youth B Male,Boulder,Timo UZNIK,5 •,AUT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T6z 10 21 (6),3T3z 15 7 (7),
8,Youth B Male,Boulder,Gorazd JUREKOVIČ,164 •,SLO,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",5T6z 9 6 (4),2T4z 5 11 (8),
9,Youth B Male,Boulder,Ilja AUERSPERG,4 •,AUT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T5z 7 11 (9),2T4z 6 8 (9),
10,Youth B Male,Boulder,Evgenii ZHILOV,152 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T5z 6 14 (18),2T4z 10 14 (10),
11,Youth B Male,Boulder,Nikolay ANGELOV,22 •,BUL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T5z 6 6 (17),2T2z 12 3 (11),
12,Youth B Male,Boulder,Kai MAIN,54 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T6z 6 11 (14),1T4z 3 6 (12),
13,Youth B Male,Boulder,Finn ALTEMÖLLER,67 •,GER,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T5z 8 7 (10),1T3z 2 6 (13),
14,Youth B Male,Boulder,Darius RAPA,139 •,ROU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 2 7 (20),1T3z 2 6 (14),
15,Youth B Male,Boulder,Lukas MOKROLUSKY,27 •,CZE,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",5T6z 7 6 (3),1T3z 12 18 (15),
16,Youth B Male,Boulder,Max BERTONE,44 •,FRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T6z 6 9 (13),1T2z 6 10 (16),
17,Youth B Male,Boulder,Yukio MAKITA,52 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T4z 3 4 (19),0T4z 0 18 (17),
18,Youth B Male,Boulder,Raffael GRUBER,6 •,AUT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T5z 5 5 (8),0T3z 0 11 (18),
19,Youth B Male,Boulder,Raúl ESCRIBANO SÁNCHEZ,39 •,ESP,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T6z 11 9 (7),0T3z 0 14 (19),
20,Youth B Male,Boulder,Lau MACIÀ LLOBET,37 •,ESP,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T5z 6 5 (16),0T2z 0 5 (20),
21,Youth B Male,Boulder,Aleksandr VINOGRADOV,151 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 2 12 (21),,
22,Youth B Male,Boulder,Tristan SÝKORA,170 •,SVK,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 6 23 (22),,
23,Youth B Male,Boulder,Alexandre NOËL,12 •,BEL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 7 11 (23),,
24,Youth B Male,Boulder,Alexey BLEM,147 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T5z 2 8 (24),,
25,Youth B Male,Boulder,Boyan KIROV,19 •,BUL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T5z 2 10 (25),,
26,Youth B Male,Boulder,Frantisek DANDA,28 •,CZE,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T5z 5 19 (26),,
27,Youth B Male,Boulder,Pavel ASTAPCHYK,14 •,BLR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T4z 3 20 (27),,
28,Youth B Male,Boulder,Nedas GRIGALIUNAS,126 •,LTU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T4z 4 7 (28),,
29,Youth B Male,Boulder,Tymur DIATLOV,190 •,UKR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T4z 6 7 (29),,
30,Youth B Male,Boulder,Jaroslav SIKULA,29 •,CZE,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T5z 1 19 (30),,
31,Youth B Male,Boulder,Juri VILLA,89 •,ITA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T5z 4 9 (31),,
32,Youth B Male,Boulder,Ivan LAVROV,112 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T3z 2 16 (32),,
33,Youth B Male,Boulder,Andres Alejandro DIAZ,33 •,ECU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T2z 5 6 (33),,
34,Youth B Male,Boulder,Alexandru-florian ZAHARIA,138 •,ROU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 5 (34),,
35,Youth B Male,Boulder,Artur KHAIETSKYI,188 •,UKR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 10 (35),,
36,Youth B Male,Boulder,Muhammed Oğuz KAĞANOĞLU,173 •,TUR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T2z 0 7 (36),,
37,Youth B Male,Boulder,Oskaras MIKELIONIS,127 •,LTU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T2z 0 8 (37),,
38,Youth B Male,Boulder,Maksim HAMAN,13 •,BLR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T2z 0 19 (38),,
39,Youth B Male,Boulder,Mustafa Saci̇t SÜMER,176 •,TUR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 1 (39),,
40,Youth B Male,Boulder,Petr KARLIN,105 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 2 (40),,
41,Youth B Male,Boulder,Ronit BANDRA,79 •,IND,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 10 (41),,
42,Youth B Male,Boulder,Ilia MYSAKOV,120 •,KGZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (42),,
42,Youth B Male,Boulder,Yelissey SLEPTSOV,109 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (42),,
1,Juniors Female,Boulder,Naïlé MEIGNAN,250 •,FRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",6T6z 13 10 (1),4T4z 4 4 (1),3T4z 6 7 (1)
2,Juniors Female,Boulder,Emily PHILLIPS,256 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T4z 6 5 (7),3T4z 9 9 (4),2T4z 4 16 (2)
3,Juniors Female,Boulder,Lucija TARKUS,362 •,SLO,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T5z 10 11 (4),3T4z 8 7 (3),2T3z 6 6 (3)
4,Juniors Female,Boulder,Anna LECHNER,265 •,GER,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",5T5z 12 11 (2),4T4z 8 7 (2),1T4z 3 16 (4)
5,Juniors Female,Boulder,Nonoha KUME,298 •,JPN,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",5T5z 17 15 (3),2T4z 5 14 (5),1T3z 2 11 (5)
6,Juniors Female,Boulder,Miriam FOGU,287 •,ITA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T4z 9 11 (12),2T4z 6 14 (6),0T2z 0 7 (6)
7,Juniors Female,Boulder,Michaela SMETANOVA,227 •,CZE,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T4z 6 6 (8),2T4z 8 13 (7),
8,Juniors Female,Boulder,Camille POUGET,251 •,FRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T3z 4 5 (14),2T4z 8 16 (8),
9,Juniors Female,Boulder,Nekaia SANDERS,390 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T5z 12 11 (5),2T2z 9 5 (9),
10,Juniors Female,Boulder,Quinn MASON,389 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T4z 3 5 (18),1T3z 2 3 (10),
11,Juniors Female,Boulder,Aida TORRES ILLAMOLA,240 •,ESP,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T3z 4 13 (15),1T3z 3 5 (11),
12,Juniors Female,Boulder,Kintana ILTIS,252 •,FRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T4z 4 6 (19),1T3z 5 11 (12),
13,Juniors Female,Boulder,Ingrid KINDLIHAGEN,321 •,NOR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T4z 4 7 (20),1T1z 1 1 (13),
14,Juniors Female,Boulder,Zoé EGLI,368 •,SUI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T4z 1 7 (16),1T1z 3 1 (14),
15,Juniors Female,Boulder,Lucie WATILLON,216 •,BEL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T4z 6 6 (8),0T3z 0 5 (15),
16,Juniors Female,Boulder,Bianka JANECKA,327 •,POL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T4z 18 18 (13),0T3z 0 6 (16),
17,Juniors Female,Boulder,Mahya DARABIAN,278 •,IRI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T5z 12 13 (6),0T3z 0 7 (17),
18,Juniors Female,Boulder,Adelaide D'ADDARIO,289 •,ITA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T4z 8 11 (11),0T2z 0 5 (18),
19,Juniors Female,Boulder,Ashley FISHER,397 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T4z 3 4 (17),0T2z 0 6 (19),
20,Juniors Female,Boulder,Ignacia MELLADO QUINTEROS,223 •,CHI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T4z 2 7 (10),0T1z 0 2 (20),
21,Juniors Female,Boulder,Lucie DELCOIGNE,217 •,BEL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T4z 4 10 (21),,
22,Juniors Female,Boulder,Iana GULSTEN,331 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T4z 4 12 (22),,
23,Juniors Female,Boulder,Daria GARKINA,347 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T3z 2 5 (23),,
24,Juniors Female,Boulder,Jana RAUTH,211 •,AUT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T3z 2 6 (24),,
25,Juniors Female,Boulder,Ana Belén ARGUDO MARUGAN,239 •,ESP,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T3z 3 3 (25),,
26,Juniors Female,Boulder,Joëlle NIEDERBERGER,371 •,SUI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 7 (26),,
27,Juniors Female,Boulder,Federica MABBONI,288 •,ITA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 9 (27),,
28,Juniors Female,Boulder,Daria NESTERENKO,383 •,UKR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 20 (28),,
29,Juniors Female,Boulder,Polina KULAGINA,344 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 22 (29),,
30,Juniors Female,Boulder,Eliška BULENOVÁ,228 •,CZE,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 4 (30),,
30,Juniors Female,Boulder,Liv EGLI,370 •,SUI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 4 (30),,
30,Juniors Female,Boulder,Pleun FRANK,320 •,NED,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 4 (30),,
30,Juniors Female,Boulder,Katherine MACDOUGALL,254 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 4 (30),,
34,Juniors Female,Boulder,Sandra HOPFENSITZ,269 •,GER,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 5 (34),,
34,Juniors Female,Boulder,Hannah SMITH,255 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 5 (34),,
36,Juniors Female,Boulder,Rut MONSECH GASCA,243 •,ESP,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 6 (36),,
36,Juniors Female,Boulder,Nika POTAPOVA,382 •,UKR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 6 (36),,
38,Juniors Female,Boulder,Nikola KRALIKOVA,226 •,CZE,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 9 (38),,
39,Juniors Female,Boulder,Iris-olivia RIZAN,330 •,ROU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T2z 0 4 (39),,
40,Juniors Female,Boulder,Vanda MICHALKOVA,372 •,SVK,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 1 (40),,
41,Juniors Female,Boulder,Zarina AGILMANOVA,305 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 8 (41),,
42,Juniors Female,Boulder,Anastassiya SALYAKHOVA,304 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (42),,
42,Juniors Female,Boulder,Aleksandra SCERBINA,314 •,LTU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (42),,
,Juniors Female,Boulder,Grace CROWLEY,208 •,AUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",DNS,,
1,Youth A Female,Boulder,Zélia AVEZOU,248 •,FRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",5T5z 13 12 (4),3T4z 8 7 (2),1T4z 2 15 (1)
2,Youth A Female,Boulder,Sara COPAR,361 •,SLO,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",5T6z 16 16 (2),3T3z 5 5 (4),1T4z 3 8 (2)
3,Youth A Female,Boulder,Alessia MABBONI,281 •,ITA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",5T5z 13 13 (5),3T4z 8 8 (3),1T3z 2 4 (3)
4,Youth A Female,Boulder,Kylie CULLEN,393 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",6T6z 9 8 (1),4T4z 13 11 (1),1T3z 5 10 (4)
5,Youth A Female,Boulder,Erin MCNEICE,257 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",5T5z 8 7 (3),2T4z 4 5 (5),0T3z 0 8 (5)
6,Youth A Female,Boulder,Saula LERONDEL,249 •,FRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T5z 3 6 (12),2T4z 5 4 (6),0T3z 0 8 (6)
7,Youth A Female,Boulder,Irina DAZIANO,280 •,ITA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T6z 8 13 (6),2T4z 6 12 (7),
8,Youth A Female,Boulder,Aleksandra TOTKOVA,221 •,BUL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T4z 6 5 (10),2T3z 5 17 (8),
9,Youth A Female,Boulder,Louise FLOCKHART,259 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T4z 8 7 (11),1T4z 2 12 (9),
10,Youth A Female,Boulder,Federica PAPETTI,282 •,ITA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T6z 8 13 (8),1T4z 3 7 (10),
11,Youth A Female,Boulder,Ariane FRANKEN,214 •,AUT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T5z 8 9 (9),1T4z 9 14 (11),
12,Youth A Female,Boulder,Liza NOVAK,360 •,SLO,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T4z 5 4 (7),1T3z 3 8 (12),
13,Youth A Female,Boulder,Callie CLOSE,392 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T5z 6 10 (14),1T3z 3 8 (13),
14,Youth A Female,Boulder,Anja KÖHLER,369 •,SUI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T3z 3 3 (19),1T2z 1 3 (14),
15,Youth A Female,Boulder,Iziar MARTÍNEZ ALMENDROS,241 •,ESP,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T4z 2 4 (15),1T2z 2 4 (15),
16,Youth A Female,Boulder,Anya VAN ESSEN,318 •,NED,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T3z 3 8 (20),0T3z 0 10 (16),
17,Youth A Female,Boulder,Lena SCHRITTWIESER,212 •,AUT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T5z 4 12 (13),0T2z 0 2 (17),
18,Youth A Female,Boulder,Emilia WARENSKI,215 •,AUT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T4z 5 17 (17),0T2z 0 7 (18),
19,Youth A Female,Boulder,Anna Maria APEL,268 •,GER,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T3z 2 15 (18),0T1z 0 1 (19),
20,Youth A Female,Boulder,Eva PUHAR,356 •,SLO,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T4z 3 7 (16),DNS,
21,Youth A Female,Boulder,Marketa JANOSOVA,225 •,CZE,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T3z 4 7 (21),,
22,Youth A Female,Boulder,Zoe GARCIA MOLINA,207 •,ARG,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 9 (22),,
23,Youth A Female,Boulder,Carmen CONTRERAS,222 •,CHI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 12 (23),,
24,Youth A Female,Boulder,Nao MORI,295 •,JPN,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 3 (24),,
24,Youth A Female,Boulder,Ekaterina VASICHKOVA,334 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 3 (24),,
26,Youth A Female,Boulder,Maria LIPKOWICZ,328 •,POL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 4 (26),,
26,Youth A Female,Boulder,Eliska SUCHA,232 •,CZE,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 4 (26),,
28,Youth A Female,Boulder,Marina KUSHANINA,335 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 5 (28),,
28,Youth A Female,Boulder,Galina RASPUTKO,332 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 5 (28),,
30,Youth A Female,Boulder,Yuliya NIKIFARAVETS,219 •,BLR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 9 (30),,
31,Youth A Female,Boulder,Sofiia TYMCHENKO,387 •,UKR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 13 (31),,
32,Youth A Female,Boulder,Lana BAKIĆ,224 •,CRO,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T2z 0 2 (32),,
33,Youth A Female,Boulder,Marilu SOMMER,365 •,SUI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T2z 0 4 (33),,
34,Youth A Female,Boulder,Ksenija DOBRŽINSKA,311 •,LAT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T2z 0 6 (34),,
35,Youth A Female,Boulder,Edie CARR,260 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T2z 0 8 (35),,
36,Youth A Female,Boulder,Maria TERAN,238 •,ECU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 1 (36),,
37,Youth A Female,Boulder,Abigail RUANO,237 •,ECU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 2 (37),,
38,Youth A Female,Boulder,Yelizaveta LITUS,308 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 3 (38),,
39,Youth A Female,Boulder,Duru Güneş YALCIN,374 •,TUR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 4 (39),,
40,Youth A Female,Boulder,Tanzila OSPAN,310 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 6 (40),,
41,Youth A Female,Boulder,Anastasiia SKIDAN,385 •,UKR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 12 (41),,
42,Youth A Female,Boulder,Zeli̇ha EL,375 •,TUR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (42),,
42,Youth A Female,Boulder,Yailenne MURILLO,236 •,ECU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (42),,
42,Youth A Female,Boulder,Alina PONOMARYOVA,309 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (42),,
42,Youth A Female,Boulder,Mihaela SANEVA,316 •,MKD,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (42),,
42,Youth A Female,Boulder,Anisha VERMA,277 •,IND,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (42),,
1,Youth B Female,Boulder,Anastasia SANDERS,400 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",6T6z 18 17 (1),3T4z 15 16 (3),4T4z 7 7 (1)
2,Youth B Female,Boulder,Meije LERONDEL,247 •,FRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",5T6z 8 12 (2),4T4z 14 14 (1),3T4z 5 6 (2)
3,Youth B Female,Boulder,Sina WILLY,209 •,AUT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T6z 5 13 (7),3T4z 16 14 (4),2T2z 3 3 (3)
4,Youth B Female,Boulder,Lily ABRIAT,246 •,FRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T6z 3 10 (5),3T4z 10 13 (2),1T3z 1 3 (4)
5,Youth B Female,Boulder,Lucy GARLICK,264 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T4z 6 22 (15),2T4z 7 9 (6),0T3z 0 11 (5)
6,Youth B Female,Boulder,Martina BURŠÍKOVÁ,373 •,SVK,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T5z 2 11 (10),2T4z 5 15 (5),0T2z 0 5 (6)
7,Youth B Female,Boulder,Naima GRINGL,210 •,AUT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T4z 3 7 (12),2T3z 5 6 (7),
8,Youth B Female,Boulder,Mio NUKUI,297 •,JPN,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T6z 5 8 (3),2T3z 5 7 (8),
9,Youth B Female,Boulder,Barbora BERNARDOVA,233 •,CZE,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T5z 8 7 (4),2T3z 11 18 (9),
10,Youth B Female,Boulder,Sienna PEREZ,403 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T6z 4 8 (6),1T4z 2 11 (10),
11,Youth B Female,Boulder,Arina JURCENKO,234 •,CZE,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T4z 4 11 (14),1T4z 2 15 (11),
12,Youth B Female,Boulder,Jil COUTURE,367 •,SUI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T4z 4 9 (13),1T4z 4 12 (12),
13,Youth B Female,Boulder,Buckley JENNIFER,364 •,SLO,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 4 14 (8),1T4z 6 16 (13),
14,Youth B Female,Boulder,Kseniia ZAKHAROVA,378 •,UKR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T5z 5 11 (20),1T3z 1 19 (14),
15,Youth B Female,Boulder,Lina FUNA,359 •,SLO,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T5z 2 6 (9),1T3z 3 5 (15),
16,Youth B Female,Boulder,Alina ALBERT,395 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T5z 9 16 (11),1T3z 4 4 (16),
