rank,category,modality,name,number,country,event_name
35,Men,Lead,Marek REPCIK,,SVK,UIAA European Championship - Nürnberg (GER) 1998
38,Men,Lead,Jan KARES,,CZE,UIAA European Championship - Nürnberg (GER) 1998
39,Men,Lead,Aljosa GROM,,SLO,UIAA European Championship - Nürnberg (GER) 1998
39,Men,Lead,Johan MUS,,BEL,UIAA European Championship - Nürnberg (GER) 1998
39,Men,Lead,Lukasz MÜLLER,,POL,UIAA European Championship - Nürnberg (GER) 1998
39,Men,Lead,Thorsten NEUHAUS,,GER,UIAA European Championship - Nürnberg (GER) 1998
39,Men,Lead,Matej SOVA,,SLO,UIAA European Championship - Nürnberg (GER) 1998
39,Men,Lead,Matthias TROTTMANN,,SUI,UIAA European Championship - Nürnberg (GER) 1998
45,Men,Lead,Milen VIDENOVSKI,,BUL,UIAA European Championship - Nürnberg (GER) 1998
46,Men,Lead,Adam LIANA,,POL,UIAA European Championship - Nürnberg (GER) 1998
47,Men,Lead,Peter BOSMA,,SWE,UIAA European Championship - Nürnberg (GER) 1998
47,Men,Lead,Marek HAVLIK,,CZE,UIAA European Championship - Nürnberg (GER) 1998
47,Men,Lead,Fernando MARTINEZ,,ESP,UIAA European Championship - Nürnberg (GER) 1998
50,Men,Lead,Urs SCHÖNENBERGER,,SUI,UIAA European Championship - Nürnberg (GER) 1998
51,Men,Lead,Andrej CHRASTINA,,SVK,UIAA European Championship - Nürnberg (GER) 1998
51,Men,Lead,Ionel ENE,,ROU,UIAA European Championship - Nürnberg (GER) 1998
51,Men,Lead,Robert MATE,,GER,UIAA European Championship - Nürnberg (GER) 1998
51,Men,Lead,Hans MILEWSKI,,AUT,UIAA European Championship - Nürnberg (GER) 1998
55,Men,Lead,Andrey VEDENMEER,,UKR,UIAA European Championship - Nürnberg (GER) 1998
56,Men,Lead,Nicolas FAVRESSE,,BEL,UIAA European Championship - Nürnberg (GER) 1998
57,Men,Lead,Oliver COENEN,,BEL,UIAA European Championship - Nürnberg (GER) 1998
57,Men,Lead,Martin REIMERS,,NOR,UIAA European Championship - Nürnberg (GER) 1998
59,Men,Lead,Leif Henning Broch JOHNSEN,,NOR,UIAA European Championship - Nürnberg (GER) 1998
59,Men,Lead,Tomas LUNDGREN,,SWE,UIAA European Championship - Nürnberg (GER) 1998
61,Men,Lead,Zaza GURCHIANI,,GEO,UIAA European Championship - Nürnberg (GER) 1998
61,Men,Lead,Ivaylo KRASTEV,,BUL,UIAA European Championship - Nürnberg (GER) 1998
63,Men,Lead,Noukri GVELEBIANI,,GEO,UIAA European Championship - Nürnberg (GER) 1998
1,Women,Lead,Muriel SARKANY,,BEL,UIAA European Championship - Nürnberg (GER) 1998
2,Women,Lead,Venera CHERESHNEVA,,RUS,UIAA European Championship - Nürnberg (GER) 1998
3,Women,Lead,Liv SANSOZ,,FRA,UIAA European Championship - Nürnberg (GER) 1998
4,Women,Lead,Stéphanie BODET,,FRA,UIAA European Championship - Nürnberg (GER) 1998
5,Women,Lead,Martina CUFAR,,SLO,UIAA European Championship - Nürnberg (GER) 1998
6,Women,Lead,Natalie RICHER,,FRA,UIAA European Championship - Nürnberg (GER) 1998
7,Women,Lead,Marietta UHDEN,,GER,UIAA European Championship - Nürnberg (GER) 1998
8,Women,Lead,Margaux HILLY,,FRA,UIAA European Championship - Nürnberg (GER) 1998
9,Women,Lead,Luisa IOVANE,,ITA,UIAA European Championship - Nürnberg (GER) 1998
10,Women,Lead,Elena CHOUMILOVA,,RUS,UIAA European Championship - Nürnberg (GER) 1998
11,Women,Lead,Cecile AVEZOU,,FRA,UIAA European Championship - Nürnberg (GER) 1998
12,Women,Lead,Natalia NESTEROVA,,RUS,UIAA European Championship - Nürnberg (GER) 1998
13,Women,Lead,Annatina SCHULTZ,,SUI,UIAA European Championship - Nürnberg (GER) 1998
14,Women,Lead,Bettina SCHÖPF,,AUT,UIAA European Championship - Nürnberg (GER) 1998
15,Women,Lead,Leire AGUIRRE,,ESP,UIAA European Championship - Nürnberg (GER) 1998
16,Women,Lead,Josune BERECIARTU URRUZOLA,,ESP,UIAA European Championship - Nürnberg (GER) 1998
17,Women,Lead,Iva HARTMANN,,SUI,UIAA European Championship - Nürnberg (GER) 1998
18,Women,Lead,Yulia INOZEMTSEVA,,RUS,UIAA European Championship - Nürnberg (GER) 1998
19,Women,Lead,Renata PISZCZEK,,POL,UIAA European Championship - Nürnberg (GER) 1998
20,Women,Lead,Iwona GRONKIEWICZ-MARCISZ,,POL,UIAA European Championship - Nürnberg (GER) 1998
21,Women,Lead,Katarina STREMFELJ,,SLO,UIAA European Championship - Nürnberg (GER) 1998
22,Women,Lead,Ameli HAAGER,,GER,UIAA European Championship - Nürnberg (GER) 1998
23,Women,Lead,Gry HANSEN,,NOR,UIAA European Championship - Nürnberg (GER) 1998
24,Women,Lead,Michaela DRLIKOVA,,CZE,UIAA European Championship - Nürnberg (GER) 1998
25,Women,Lead,Nicola HAAGER,,GER,UIAA European Championship - Nürnberg (GER) 1998
26,Women,Lead,Tamara SCHLEMMER,,GER,UIAA European Championship - Nürnberg (GER) 1998
27,Women,Lead,Olena RYEPKO,,UKR,UIAA European Championship - Nürnberg (GER) 1998
28,Women,Lead,Lisa BENETTI,,ITA,UIAA European Championship - Nürnberg (GER) 1998
29,Women,Lead,Lucy CREAMER,,GBR,UIAA European Championship - Nürnberg (GER) 1998
29,Women,Lead,Gerda RAFFETSEDER,,AUT,UIAA European Championship - Nürnberg (GER) 1998
29,Women,Lead,Simona ULMONOVA,,CZE,UIAA European Championship - Nürnberg (GER) 1998
32,Women,Lead,Kim ANTHONI,,BEL,UIAA European Championship - Nürnberg (GER) 1998
32,Women,Lead,Jenny FÖRANDER,,SWE,UIAA European Championship - Nürnberg (GER) 1998
34,Women,Lead,Mariana ENE,,ROU,UIAA European Championship - Nürnberg (GER) 1998
35,Women,Lead,Ingela NILSSON,,SWE,UIAA European Championship - Nürnberg (GER) 1998
36,Women,Lead,Maria RÜDISÜHLI,,SUI,UIAA European Championship - Nürnberg (GER) 1998
37,Women,Lead,Martina ARTIOLI,,ITA,UIAA European Championship - Nürnberg (GER) 1998
37,Women,Lead,Stella MARCHISIO,,ITA,UIAA European Championship - Nürnberg (GER) 1998
37,Women,Lead,Romana SAVIC,,SLO,UIAA European Championship - Nürnberg (GER) 1998
37,Women,Lead,Mirjam VERBEEK,,NED,UIAA European Championship - Nürnberg (GER) 1998
37,Women,Lead,Olga ZAKHAROVA,,UKR,UIAA European Championship - Nürnberg (GER) 1998
42,Women,Lead,Libusa HUSAROVA,,SVK,UIAA European Championship - Nürnberg (GER) 1998
43,Women,Lead,Linn Karin STENDAL,,NOR,UIAA European Championship - Nürnberg (GER) 1998
44,Women,Lead,Alexandra HOLKOVA,,CZE,UIAA European Championship - Nürnberg (GER) 1998
44,Women,Lead,Brigitta NILSSON,,SWE,UIAA European Championship - Nürnberg (GER) 1998
46,Women,Lead,Maria YAROKH,,UKR,UIAA European Championship - Nürnberg (GER) 1998
47,Women,Lead,Helene Belle LASZLO,,NOR,UIAA European Championship - Nürnberg (GER) 1998
48,Women,Lead,Nino TCHARKVIANI,,GEO,UIAA European Championship - Nürnberg (GER) 1998
49,Women,Lead,Marharyta USATIUK,,UKR,UIAA European Championship - Nürnberg (GER) 1998
1,Men,Speed,Tomasz OLEKSY,,POL,UIAA European Championship - Nürnberg (GER) 1998
2,Men,Speed,Alexandr PAUKAEV,,UKR,UIAA European Championship - Nürnberg (GER) 1998
3,Men,Speed,Vladimir ZAKHAROV,,UKR,UIAA European Championship - Nürnberg (GER) 1998
4,Men,Speed,Vladislav BARANOV,,RUS,UIAA European Championship - Nürnberg (GER) 1998
5,Men,Speed,Daniel ANDRADA JIMENEZ,,ESP,UIAA European Championship - Nürnberg (GER) 1998
5,Men,Speed,Said BELHAJ,,SWE,UIAA European Championship - Nürnberg (GER) 1998
5,Men,Speed,Yevgen KRYVOSHEYTSEV,,UKR,UIAA European Championship - Nürnberg (GER) 1998
5,Men,Speed,Vladimir NETSVETAEV-DOLGALEV,,RUS,UIAA European Championship - Nürnberg (GER) 1998
9,Men,Speed,Dmitrii BYCHKOV,,RUS,UIAA European Championship - Nürnberg (GER) 1998
9,Men,Speed,Lukasz MÜLLER,,POL,UIAA European Championship - Nürnberg (GER) 1998
11,Men,Speed,Daniel KADLEC,,CZE,UIAA European Championship - Nürnberg (GER) 1998
11,Men,Speed,Robert MATE,,GER,UIAA European Championship - Nürnberg (GER) 1998
13,Men,Speed,Jimmy AUNET,,FRA,UIAA European Championship - Nürnberg (GER) 1998
14,Men,Speed,Tim BARTZIK,,GER,UIAA European Championship - Nürnberg (GER) 1998
14,Men,Speed,Arno DIMMLER,,GER,UIAA European Championship - Nürnberg (GER) 1998
16,Men,Speed,Alexei KOZLOV,,RUS,UIAA European Championship - Nürnberg (GER) 1998
17,Men,Speed,Mathieu DUTRAY,,FRA,UIAA European Championship - Nürnberg (GER) 1998
18,Men,Speed,Serik KAZBEKOV,,UKR,UIAA European Championship - Nürnberg (GER) 1998
19,Men,Speed,Milen VIDENOVSKI,,BUL,UIAA European Championship - Nürnberg (GER) 1998
20,Men,Speed,Milan BENIAN,,CZE,UIAA European Championship - Nürnberg (GER) 1998
21,Men,Speed,Johan MUS,,BEL,UIAA European Championship - Nürnberg (GER) 1998
22,Men,Speed,Oleg BOULAVKO,,RUS,UIAA European Championship - Nürnberg (GER) 1998
23,Men,Speed,Florin CORBEJ,,ROU,UIAA European Championship - Nürnberg (GER) 1998
24,Men,Speed,Ionel ENE,,ROU,UIAA European Championship - Nürnberg (GER) 1998
24,Men,Speed,Zaza GURCHIANI,,GEO,UIAA European Championship - Nürnberg (GER) 1998
26,Men,Speed,Oliver COENEN,,BEL,UIAA European Championship - Nürnberg (GER) 1998
27,Men,Speed,Ingo STICHLER,,GER,UIAA European Championship - Nürnberg (GER) 1998
28,Men,Speed,Kalin GARBOV,,BUL,UIAA European Championship - Nürnberg (GER) 1998
29,Men,Speed,Ivaylo KRASTEV,,BUL,UIAA European Championship - Nürnberg (GER) 1998
30,Men,Speed,Noukri GVELEBIANI,,GEO,UIAA European Championship - Nürnberg (GER) 1998
31,Men,Speed,Andrey VEDENMEER,,UKR,UIAA European Championship - Nürnberg (GER) 1998
1,Women,Speed,Cecile AVEZOU,,FRA,UIAA European Championship - Nürnberg (GER) 1998
2,Women,Speed,Olena RYEPKO,,UKR,UIAA European Championship - Nürnberg (GER) 1998
3,Women,Speed,Zosia PODGORBOUNSKIKH,,RUS,UIAA European Championship - Nürnberg (GER) 1998
4,Women,Speed,Irina ZAYTSEVA,,RUS,UIAA European Championship - Nürnberg (GER) 1998
5,Women,Speed,Olga BIBIK,,RUS,UIAA European Championship - Nürnberg (GER) 1998
5,Women,Speed,Ines BISCHOFF,,GER,UIAA European Championship - Nürnberg (GER) 1998
5,Women,Speed,Natalia NOVIKOVA,,RUS,UIAA European Championship - Nürnberg (GER) 1998
5,Women,Speed,Renata PISZCZEK,,POL,UIAA European Championship - Nürnberg (GER) 1998
9,Women,Speed,Kim ANTHONI,,BEL,UIAA European Championship - Nürnberg (GER) 1998
10,Women,Speed,Olga ZAKHAROVA,,UKR,UIAA European Championship - Nürnberg (GER) 1998
11,Women,Speed,Maria YAROKH,,UKR,UIAA European Championship - Nürnberg (GER) 1998
12,Women,Speed,Romana SAVIC,,SLO,UIAA European Championship - Nürnberg (GER) 1998
13,Women,Speed,Mayya PIRATINSKAYA,,RUS,UIAA European Championship - Nürnberg (GER) 1998
14,Women,Speed,Olena OSTAPENKO,,UKR,UIAA European Championship - Nürnberg (GER) 1998
15,Women,Speed,Marharyta USATIUK,,UKR,UIAA European Championship - Nürnberg (GER) 1998
16,Women,Speed,Nino TCHARKVIANI,,GEO,UIAA European Championship - Nürnberg (GER) 1998
1,Juniors Male,Lead,Manuel HASSLER,,SUI,European Youth Cup - Dortmund (GER) 1998
2,Juniors Male,Lead,Frédéric TUSCAN,,FRA,European Youth Cup - Dortmund (GER) 1998
3,Juniors Male,Lead,Matthias MÜLLER,,SUI,European Youth Cup - Dortmund (GER) 1998
4,Juniors Male,Lead,Matthias SCHMIDL,,ITA,European Youth Cup - Dortmund (GER) 1998
5,Juniors Male,Lead,Bassa MAWEM,,FRA,European Youth Cup - Dortmund (GER) 1998
6,Juniors Male,Lead,Thomas HAMM,,GER,European Youth Cup - Dortmund (GER) 1998
7,Juniors Male,Lead,Ales STROJAN,,SLO,European Youth Cup - Dortmund (GER) 1998
8,Juniors Male,Lead,David GISLER,,SUI,European Youth Cup - Dortmund (GER) 1998
9,Juniors Male,Lead,Daniel GEBEL,,GER,European Youth Cup - Dortmund (GER) 1998
10,Juniors Male,Lead,Frédéric GUILLAUD,,FRA,European Youth Cup - Dortmund (GER) 1998
11,Juniors Male,Lead,Cristian PUGLIA,,ITA,European Youth Cup - Dortmund (GER) 1998
12,Juniors Male,Lead,Roland BIGLER,,SUI,European Youth Cup - Dortmund (GER) 1998
13,Juniors Male,Lead,Lars DECKER,,GER,European Youth Cup - Dortmund (GER) 1998
14,Juniors Male,Lead,Alexei TIKHVINSKI,,RUS,European Youth Cup - Dortmund (GER) 1998
15,Juniors Male,Lead,Björn BERGMARK,,SWE,European Youth Cup - Dortmund (GER) 1998
16,Juniors Male,Lead,Jiri PRIBIL,,CZE,European Youth Cup - Dortmund (GER) 1998
17,Juniors Male,Lead,Daniele ITOCCHI,,ITA,European Youth Cup - Dortmund (GER) 1998
18,Juniors Male,Lead,Florian KÜHNEL,,GER,European Youth Cup - Dortmund (GER) 1998
19,Juniors Male,Lead,Furio LAGONIGRO,,ITA,European Youth Cup - Dortmund (GER) 1998
1,Youth A Male,Lead,Julien BARBIER,,FRA,European Youth Cup - Dortmund (GER) 1998
2,Youth A Male,Lead,Tomaz VALJAVEC,,SLO,European Youth Cup - Dortmund (GER) 1998
3,Youth A Male,Lead,Michaël FUSELIER,,FRA,European Youth Cup - Dortmund (GER) 1998
4,Youth A Male,Lead,Bostjan POTOCNIK,,SLO,European Youth Cup - Dortmund (GER) 1998
5,Youth A Male,Lead,Klemen BECAN,,SLO,European Youth Cup - Dortmund (GER) 1998
5,Youth A Male,Lead,Clément FRIBOURG,,FRA,European Youth Cup - Dortmund (GER) 1998
7,Youth A Male,Lead,Peter SZCZEPANSKI,,GER,European Youth Cup - Dortmund (GER) 1998
8,Youth A Male,Lead,Alexander MEIKL,,AUT,European Youth Cup - Dortmund (GER) 1998
8,Youth A Male,Lead,Casper TEN SIJTHOFF,,NED,European Youth Cup - Dortmund (GER) 1998
10,Youth A Male,Lead,Igor PILIOUGINE,,RUS,European Youth Cup - Dortmund (GER) 1998
11,Youth A Male,Lead,Christian BENK,,GER,European Youth Cup - Dortmund (GER) 1998
12,Youth A Male,Lead,Jakub HLAVACEK,,CZE,European Youth Cup - Dortmund (GER) 1998
13,Youth A Male,Lead,Serguei ZEMSKI,,RUS,European Youth Cup - Dortmund (GER) 1998
14,Youth A Male,Lead,Adam HOCKING,,GBR,European Youth Cup - Dortmund (GER) 1998
14,Youth A Male,Lead,Primoz ZITNIK,,SLO,European Youth Cup - Dortmund (GER) 1998
16,Youth A Male,Lead,Armin SPITZNAGEL,,GER,European Youth Cup - Dortmund (GER) 1998
17,Youth A Male,Lead,Said BELHAJ,,SWE,European Youth Cup - Dortmund (GER) 1998
18,Youth A Male,Lead,Roman VAN DER WERF,,NED,European Youth Cup - Dortmund (GER) 1998
19,Youth A Male,Lead,Raphael MÖHR,,SUI,European Youth Cup - Dortmund (GER) 1998
19,Youth A Male,Lead,Christian SORDO,,ITA,European Youth Cup - Dortmund (GER) 1998
21,Youth A Male,Lead,Stefano GATTI,,ITA,European Youth Cup - Dortmund (GER) 1998
22,Youth A Male,Lead,Andrea DACASTO,,ITA,European Youth Cup - Dortmund (GER) 1998
23,Youth A Male,Lead,Ondrej MARCIK,,CZE,European Youth Cup - Dortmund (GER) 1998
24,Youth A Male,Lead,Martin JAGGI,,SUI,European Youth Cup - Dortmund (GER) 1998
25,Youth A Male,Lead,Konstantin SAVELYEV,,RUS,European Youth Cup - Dortmund (GER) 1998
26,Youth A Male,Lead,Jérôme HÄNI,,SUI,European Youth Cup - Dortmund (GER) 1998
27,Youth A Male,Lead,Ingo WALDE,,GER,European Youth Cup - Dortmund (GER) 1998
28,Youth A Male,Lead,Evgueni KIRILIOUK,,RUS,European Youth Cup - Dortmund (GER) 1998
29,Youth A Male,Lead,Georgos PROGULAKIS,,ITA,European Youth Cup - Dortmund (GER) 1998
30,Youth A Male,Lead,Christian SCHLÖGEL,,GER,European Youth Cup - Dortmund (GER) 1998
31,Youth A Male,Lead,Konstantin HENSCHEK,,GER,European Youth Cup - Dortmund (GER) 1998
1,Youth B Male,Lead,Julien BARBIER,,FRA,European Youth Cup - Dortmund (GER) 1998
2,Youth B Male,Lead,Tomaz VALJAVEC,,SLO,European Youth Cup - Dortmund (GER) 1998
3,Youth B Male,Lead,Michaël FUSELIER,,FRA,European Youth Cup - Dortmund (GER) 1998
4,Youth B Male,Lead,Bostjan POTOCNIK,,SLO,European Youth Cup - Dortmund (GER) 1998
5,Youth B Male,Lead,Klemen BECAN,,SLO,European Youth Cup - Dortmund (GER) 1998
5,Youth B Male,Lead,Clément FRIBOURG,,FRA,European Youth Cup - Dortmund (GER) 1998
7,Youth B Male,Lead,Peter SZCZEPANSKI,,GER,European Youth Cup - Dortmund (GER) 1998
8,Youth B Male,Lead,Alexander MEIKL,,AUT,European Youth Cup - Dortmund (GER) 1998
8,Youth B Male,Lead,Casper TEN SIJTHOFF,,NED,European Youth Cup - Dortmund (GER) 1998
10,Youth B Male,Lead,Igor PILIOUGINE,,RUS,European Youth Cup - Dortmund (GER) 1998
11,Youth B Male,Lead,Christian BENK,,GER,European Youth Cup - Dortmund (GER) 1998
12,Youth B Male,Lead,Jakub HLAVACEK,,CZE,European Youth Cup - Dortmund (GER) 1998
13,Youth B Male,Lead,Serguei ZEMSKI,,RUS,European Youth Cup - Dortmund (GER) 1998
14,Youth B Male,Lead,Adam HOCKING,,GBR,European Youth Cup - Dortmund (GER) 1998
14,Youth B Male,Lead,Primoz ZITNIK,,SLO,European Youth Cup - Dortmund (GER) 1998
16,Youth B Male,Lead,Armin SPITZNAGEL,,GER,European Youth Cup - Dortmund (GER) 1998
17,Youth B Male,Lead,Said BELHAJ,,SWE,European Youth Cup - Dortmund (GER) 1998
18,Youth B Male,Lead,Roman VAN DER WERF,,NED,European Youth Cup - Dortmund (GER) 1998
19,Youth B Male,Lead,Raphael MÖHR,,SUI,European Youth Cup - Dortmund (GER) 1998
19,Youth B Male,Lead,Christian SORDO,,ITA,European Youth Cup - Dortmund (GER) 1998
21,Youth B Male,Lead,Stefano GATTI,,ITA,European Youth Cup - Dortmund (GER) 1998
22,Youth B Male,Lead,Andrea DACASTO,,ITA,European Youth Cup - Dortmund (GER) 1998
23,Youth B Male,Lead,Ondrej MARCIK,,CZE,European Youth Cup - Dortmund (GER) 1998
24,Youth B Male,Lead,Martin JAGGI,,SUI,European Youth Cup - Dortmund (GER) 1998
25,Youth B Male,Lead,Konstantin SAVELYEV,,RUS,European Youth Cup - Dortmund (GER) 1998
26,Youth B Male,Lead,Jérôme HÄNI,,SUI,European Youth Cup - Dortmund (GER) 1998
27,Youth B Male,Lead,Ingo WALDE,,GER,European Youth Cup - Dortmund (GER) 1998
28,Youth B Male,Lead,Evgueni KIRILIOUK,,RUS,European Youth Cup - Dortmund (GER) 1998
29,Youth B Male,Lead,Georgos PROGULAKIS,,ITA,European Youth Cup - Dortmund (GER) 1998
30,Youth B Male,Lead,Christian SCHLÖGEL,,GER,European Youth Cup - Dortmund (GER) 1998
31,Youth B Male,Lead,Konstantin HENSCHEK,,GER,European Youth Cup - Dortmund (GER) 1998
1,Juniors Female,Lead,Katarina STREMFELJ,,SLO,European Youth Cup - Dortmund (GER) 1998
2,Juniors Female,Lead,Eva TUSAR,,SLO,European Youth Cup - Dortmund (GER) 1998
3,Juniors Female,Lead,Cécile MARTHA,,FRA,European Youth Cup - Dortmund (GER) 1998
4,Juniors Female,Lead,Claire MATHIEU,,FRA,European Youth Cup - Dortmund (GER) 1998
5,Juniors Female,Lead,Andrea BARTH,,GER,European Youth Cup - Dortmund (GER) 1998
6,Juniors Female,Lead,Lucie POTESILOVA,,CZE,European Youth Cup - Dortmund (GER) 1998
7,Juniors Female,Lead,Aletia OWEN,,GBR,European Youth Cup - Dortmund (GER) 1998
1,Youth A Female,Lead,Maria BELOMESTNOVA,,RUS,European Youth Cup - Dortmund (GER) 1998
2,Youth A Female,Lead,Sandrine LEVET,,FRA,European Youth Cup - Dortmund (GER) 1998
3,Youth A Female,Lead,Yulia ABRAMCHUK,,RUS,European Youth Cup - Dortmund (GER) 1998
4,Youth A Female,Lead,Alexandra EYER,,SUI,European Youth Cup - Dortmund (GER) 1998
5,Youth A Female,Lead,Alexandra GONTCHAR,,RUS,European Youth Cup - Dortmund (GER) 1998
6,Youth A Female,Lead,Margarita RYZHKOVA,,RUS,European Youth Cup - Dortmund (GER) 1998
7,Youth A Female,Lead,Elodie CHAZAUD,,FRA,European Youth Cup - Dortmund (GER) 1998
8,Youth A Female,Lead,Nastja GUZZI,,SLO,European Youth Cup - Dortmund (GER) 1998
9,Youth A Female,Lead,Juliette DANION,,FRA,European Youth Cup - Dortmund (GER) 1998
10,Youth A Female,Lead,Stéphanie LOUIS,,SUI,European Youth Cup - Dortmund (GER) 1998
11,Youth A Female,Lead,Katrin BRADY,,GER,European Youth Cup - Dortmund (GER) 1998
12,Youth A Female,Lead,Julia BERGKLINT,,SWE,European Youth Cup - Dortmund (GER) 1998
13,Youth A Female,Lead,Abigail EGAN,,GBR,European Youth Cup - Dortmund (GER) 1998
14,Youth A Female,Lead,Laura ALOI,,ITA,European Youth Cup - Dortmund (GER) 1998
1,Youth B Female,Lead,Natalija GROS,,SLO,European Youth Cup - Dortmund (GER) 1998
2,Youth B Female,Lead,Marina MALAMID,,RUS,European Youth Cup - Dortmund (GER) 1998
3,Youth B Female,Lead,Elodie GIROUX,,FRA,European Youth Cup - Dortmund (GER) 1998
4,Youth B Female,Lead,Jenny LAVARDA,,ITA,European Youth Cup - Dortmund (GER) 1998
5,Youth B Female,Lead,Emilie POUGET,,FRA,European Youth Cup - Dortmund (GER) 1998
6,Youth B Female,Lead,Isabella RITSCH,,AUT,European Youth Cup - Dortmund (GER) 1998
7,Youth B Female,Lead,Dina ANTIPOVA,,RUS,European Youth Cup - Dortmund (GER) 1998
8,Youth B Female,Lead,Lucie SKOLAROVA,,CZE,European Youth Cup - Dortmund (GER) 1998
9,Youth B Female,Lead,Sarah LAGOFFUN,,FRA,European Youth Cup - Dortmund (GER) 1998
10,Youth B Female,Lead,Olga IAKOVLEVA,,RUS,European Youth Cup - Dortmund (GER) 1998
11,Youth B Female,Lead,Karin FÄLTH,,SWE,European Youth Cup - Dortmund (GER) 1998
12,Youth B Female,Lead,Carolin SCHMITZ,,GER,European Youth Cup - Dortmund (GER) 1998
13,Youth B Female,Lead,Holly REAY,,GBR,European Youth Cup - Dortmund (GER) 1998
14,Youth B Female,Lead,Helen DALE,,GBR,European Youth Cup - Dortmund (GER) 1998
1,Juniors Male,Lead,Flavio CRESPI,,ITA,European Youth Cup - Triest (ITA) 1998
2,Juniors Male,Lead,Matej SOVA,,SLO,European Youth Cup - Triest (ITA) 1998
3,Juniors Male,Lead,David GISLER,,SUI,European Youth Cup - Triest (ITA) 1998
4,Juniors Male,Lead,Matthias MÜLLER,,SUI,European Youth Cup - Triest (ITA) 1998
5,Juniors Male,Lead,Patxi USOBIAGA LAKUNZA,,ESP,European Youth Cup - Triest (ITA) 1998
6,Juniors Male,Lead,Manuel HASSLER,,SUI,European Youth Cup - Triest (ITA) 1998
7,Juniors Male,Lead,Pawel WOJTAS,,POL,European Youth Cup - Triest (ITA) 1998
8,Juniors Male,Lead,Thomas HAMM,,GER,European Youth Cup - Triest (ITA) 1998
9,Juniors Male,Lead,Daniel KADLEC,,CZE,European Youth Cup - Triest (ITA) 1998
10,Juniors Male,Lead,Ales STROJAN,,SLO,European Youth Cup - Triest (ITA) 1998
11,Juniors Male,Lead,Heiko WILHELM,,AUT,European Youth Cup - Triest (ITA) 1998
12,Juniors Male,Lead,Joseba SAIZ,,ESP,European Youth Cup - Triest (ITA) 1998
13,Juniors Male,Lead,Gaizca SAMPEDRO,,ESP,European Youth Cup - Triest (ITA) 1998
14,Juniors Male,Lead,Matthias SCHMIDL,,ITA,European Youth Cup - Triest (ITA) 1998
15,Juniors Male,Lead,Cristian PUGLIA,,ITA,European Youth Cup - Triest (ITA) 1998
16,Juniors Male,Lead,Florian FENDER,,AUT,European Youth Cup - Triest (ITA) 1998
17,Juniors Male,Lead,Ernesto NAVARRO,,ESP,European Youth Cup - Triest (ITA) 1998
18,Juniors Male,Lead,Dawid SKOCZYLAS,,POL,European Youth Cup - Triest (ITA) 1998
19,Juniors Male,Lead,Jungi THIBAULT,,SUI,European Youth Cup - Triest (ITA) 1998
20,Juniors Male,Lead,Daniel GEBEL,,GER,European Youth Cup - Triest (ITA) 1998
21,Juniors Male,Lead,Renaud ROSSIGNOL,,BEL,European Youth Cup - Triest (ITA) 1998
22,Juniors Male,Lead,Jiri PRIBIL,,CZE,European Youth Cup - Triest (ITA) 1998
23,Juniors Male,Lead,Daniele ITOCCHI,,ITA,European Youth Cup - Triest (ITA) 1998
24,Juniors Male,Lead,Furio LAGONIGRO,,ITA,European Youth Cup - Triest (ITA) 1998
1,Youth A Male,Lead,Tomaz VALJAVEC,,SLO,European Youth Cup - Triest (ITA) 1998
2,Youth A Male,Lead,Primoz ZITNIK,,SLO,European Youth Cup - Triest (ITA) 1998
3,Youth A Male,Lead,Bostjan POTOCNIK,,SLO,European Youth Cup - Triest (ITA) 1998
4,Youth A Male,Lead,Casper TEN SIJTHOFF,,NED,European Youth Cup - Triest (ITA) 1998
5,Youth A Male,Lead,Klemen BECAN,,SLO,European Youth Cup - Triest (ITA) 1998
6,Youth A Male,Lead,Roman VAN DER WERF,,NED,European Youth Cup - Triest (ITA) 1998
7,Youth A Male,Lead,Christian BENK,,GER,European Youth Cup - Triest (ITA) 1998
8,Youth A Male,Lead,Jérôme HÄNI,,SUI,European Youth Cup - Triest (ITA) 1998
9,Youth A Male,Lead,Sebastien HELSON,,BEL,European Youth Cup - Triest (ITA) 1998
10,Youth A Male,Lead,Bruno MACIAS MATUTANO,,ESP,European Youth Cup - Triest (ITA) 1998
11,Youth A Male,Lead,Peter SZCZEPANSKI,,GER,European Youth Cup - Triest (ITA) 1998
12,Youth A Male,Lead,Christian SORDO,,ITA,European Youth Cup - Triest (ITA) 1998
13,Youth A Male,Lead,Stefano GATTI,,ITA,European Youth Cup - Triest (ITA) 1998
14,Youth A Male,Lead,Tomas MICHALKO,,SVK,European Youth Cup - Triest (ITA) 1998
15,Youth A Male,Lead,Ingo WALDE,,GER,European Youth Cup - Triest (ITA) 1998
16,Youth A Male,Lead,Adam PUSTELNIK,,POL,European Youth Cup - Triest (ITA) 1998
17,Youth A Male,Lead,Georgos PROGULAKIS,,ITA,European Youth Cup - Triest (ITA) 1998
18,Youth A Male,Lead,Ondrej MARCIK,,CZE,European Youth Cup - Triest (ITA) 1998
19,Youth A Male,Lead,Raphael MÖHR,,SUI,European Youth Cup - Triest (ITA) 1998
20,Youth A Male,Lead,Jakub HLAVACEK,,CZE,European Youth Cup - Triest (ITA) 1998
21,Youth A Male,Lead,Martin JAGGI,,SUI,European Youth Cup - Triest (ITA) 1998
22,Youth A Male,Lead,Julien ANDRE,,BEL,European Youth Cup - Triest (ITA) 1998
