rank,category,modality,name,number,country,event_name
42,Women,Lead,Catherine VALLET,,FRA,UIAA Worldcup - Clusone 1991
43,Women,Lead,Stefanie SCHREIBER,,GER,UIAA Worldcup - Clusone 1991
43,Women,Lead,Larisa SPELMAN,,RUS,UIAA Worldcup - Clusone 1991
43,Women,Lead,Antonella STRANO,,ITA,UIAA Worldcup - Clusone 1991
1,Men,Lead,François LEGRAND,,FRA,UIAA World Championship - Frankfurt 1991
2,Men,Lead,Yuji HIRAYAMA,,JPN,UIAA World Championship - Frankfurt 1991
3,Men,Lead,Guido KÖSTERMEYER,,GER,UIAA World Championship - Frankfurt 1991
4,Men,Lead,Pavel SAMOILINE,,RUS,UIAA World Championship - Frankfurt 1991
5,Men,Lead,Evgeny OVCHINNIKOV,,RUS,UIAA World Championship - Frankfurt 1991
6,Men,Lead,Didier RABOUTOU,,FRA,UIAA World Championship - Frankfurt 1991
7,Men,Lead,Vladimir JOURKIN,,RUS,UIAA World Championship - Frankfurt 1991
8,Men,Lead,Bernabe FERNANDEZ,,ESP,UIAA World Championship - Frankfurt 1991
9,Men,Lead,Christoph FINKEL,,GER,UIAA World Championship - Frankfurt 1991
10,Men,Lead,François LOMBARD,,FRA,UIAA World Championship - Frankfurt 1991
11,Men,Lead,Salavat RAKHMETOV,,RUS,UIAA World Championship - Frankfurt 1991
12,Men,Lead,Jim KARN,,USA,UIAA World Championship - Frankfurt 1991
13,Men,Lead,Stefan FÜRST,,AUT,UIAA World Championship - Frankfurt 1991
14,Men,Lead,Jean Paul FINNE,,BEL,UIAA World Championship - Frankfurt 1991
15,Men,Lead,Frédéric NICOLE,,SUI,UIAA World Championship - Frankfurt 1991
16,Men,Lead,Carlos BRASCO,,ESP,UIAA World Championship - Frankfurt 1991
17,Men,Lead,Dale GODDARD,,USA,UIAA World Championship - Frankfurt 1991
18,Men,Lead,Yoshihiko TERASHIMA,,JPN,UIAA World Championship - Frankfurt 1991
19,Men,Lead,Juri LISSOVOI,,RUS,UIAA World Championship - Frankfurt 1991
20,Men,Lead,Marek HAVLIK,,CZE,UIAA World Championship - Frankfurt 1991
21,Men,Lead,Andrzej MARCISZ,,POL,UIAA World Championship - Frankfurt 1991
22,Men,Lead,Serge BLEIN,,FRA,UIAA World Championship - Frankfurt 1991
23,Men,Lead,Scott FRANKLIN,,USA,UIAA World Championship - Frankfurt 1991
24,Men,Lead,Stefano ALIPPI,,ITA,UIAA World Championship - Frankfurt 1991
25,Men,Lead,Elie CHEVIEUX,,SUI,UIAA World Championship - Frankfurt 1991
25,Men,Lead,Stefan GLOWACZ,,GER,UIAA World Championship - Frankfurt 1991
27,Men,Lead,Luca GIUPPONI,,ITA,UIAA World Championship - Frankfurt 1991
28,Men,Lead,Luca ZARDINI,,ITA,UIAA World Championship - Frankfurt 1991
29,Men,Lead,Thomas FICKERT,,GER,UIAA World Championship - Frankfurt 1991
30,Men,Lead,Hannes RIESER,,AUT,UIAA World Championship - Frankfurt 1991
31,Men,Lead,Vili GUCEK,,SLO,UIAA World Championship - Frankfurt 1991
31,Men,Lead,Tadej SLABE,,SLO,UIAA World Championship - Frankfurt 1991
33,Men,Lead,Severino SCASSA,,ITA,UIAA World Championship - Frankfurt 1991
34,Men,Lead,Christoph BUCHER,,GER,UIAA World Championship - Frankfurt 1991
35,Men,Lead,Josef SCHWAIGER,,AUT,UIAA World Championship - Frankfurt 1991
