Local,Date,Href
Aggtelek,18/08/2006 – 20/08/2006,https://ifsc.results.info/event/463/
Imst,24/08/2006 – 27/08/2006,https://ifsc.results.info/event/443/
Marbella (L),16/09/2006 – 17/09/2006,https://ifsc.results.info/event/464/
Arco,02/09/2006 – 03/09/2006,https://ifsc.results.info/event/438/
La Colmiane,16/09/2006 – 17/09/2006,https://ifsc.results.info/event/465/
Shanghai (L+S),02/10/2006 – 03/10/2006,https://ifsc.results.info/event/439/
EYC Velika Tarnovo,07/10/2006 – 08/10/2006,https://ifsc.results.info/event/448/
Dima-Bilbao,11/10/2006 – 14/10/2006,https://ifsc.results.info/event/466/
Kaoshiung,26/10/2006 – 29/10/2006,https://ifsc.results.info/event/444/
EYC Annecy,28/10/2006 – 29/10/2006,https://ifsc.results.info/event/449/
Belgrad,28/10/2006 – 29/10/2006,https://ifsc.results.info/event/467/
Moscow (B+S),02/11/2006 – 04/11/2006,https://ifsc.results.info/event/440/
Kranj (L),18/11/2006 – 19/11/2006,https://ifsc.results.info/event/441/
Penne (L),11/11/2006 – 12/11/2006,https://ifsc.results.info/event/442/
American Champ.,24/11/2006 – 25/11/2006,https://ifsc.results.info/event/452/
Erlangen,30/03/2007 – 31/03/2007,https://ifsc.results.info/event/450/
Tarnow,13/04/2007 – 14/04/2007,https://ifsc.results.info/event/489/
Birmingham,16/03/2007 – 18/03/2007,https://ifsc.results.info/event/468/
EXC Kranj,25/11/2006 – 26/11/2006,https://ifsc.results.info/event/469/
Marseille,13/04/2007 – 14/04/2007,https://ifsc.results.info/event/497/
Hall,27/04/2007 – 28/04/2007,https://ifsc.results.info/event/470/
Trento,01/05/2007,https://ifsc.results.info/event/471/
La Reunion,04/05/2007 – 05/05/2007,https://ifsc.results.info/event/472/
Sofia,20/04/2007 – 22/04/2007,https://ifsc.results.info/event/473/
Imst,11/05/2007 – 12/05/2007,https://ifsc.results.info/event/498/
Melloblocco,05/05/2007 – 06/05/2007,https://ifsc.results.info/event/474/
EYS Imst,19/05/2007 – 20/05/2007,https://ifsc.results.info/event/490/
YCF Imst,25/05/2007 – 26/05/2007,https://ifsc.results.info/event/499/
Kiev,26/05/2007,https://ifsc.results.info/event/500/
Grindelwald,08/06/2007 – 09/06/2007,https://ifsc.results.info/event/475/
Zürich,15/06/2007 – 16/06/2007,https://ifsc.results.info/event/501/
YCF Arco,08/06/2007 – 09/06/2007,https://ifsc.results.info/event/476/
Fiera,22/06/2007 – 23/06/2007,https://ifsc.results.info/event/477/
YCF Ravenna,22/06/2007 – 24/06/2007,https://ifsc.results.info/event/502/
EYS Velika,30/06/2007 – 01/07/2007,https://ifsc.results.info/event/491/
Interlaken,30/06/2007 – 01/07/2007,https://ifsc.results.info/event/503/
Petzen,06/07/2007 – 08/07/2007,https://ifsc.results.info/event/504/
EYS Leipzig,07/07/2007 – 08/07/2007,https://ifsc.results.info/event/492/
Chamonix,11/07/2007 – 13/07/2007,https://ifsc.results.info/event/478/
Serre Chevalier,20/07/2007 – 21/07/2007,https://ifsc.results.info/event/505/
L'Argentiere,28/07/2007,https://ifsc.results.info/event/479/
Val Daone,21/07/2007 – 22/07/2007,https://ifsc.results.info/event/493/
Qinghai,11/08/2007 – 12/08/2007,https://ifsc.results.info/event/506/
EYS Warsaw,21/07/2007 – 22/07/2007,https://ifsc.results.info/event/480/
Ibarra,23/08/2007 – 26/08/2007,https://ifsc.results.info/event/487/
La Colmiane,25/08/2007 – 26/08/2007,https://ifsc.results.info/event/507/
NoviSad,01/09/2007 – 02/09/2007,https://ifsc.results.info/event/508/
Aviles,17/09/2007 – 23/09/2007,https://ifsc.results.info/event/509/
Puurs,28/09/2007 – 29/09/2007,https://ifsc.results.info/event/481/
Arco,08/09/2007 – 09/09/2007,https://ifsc.results.info/event/482/
Belgrade,06/10/2007 – 07/10/2007,https://ifsc.results.info/event/510/
Macau,29/10/2007 – 03/11/2007,https://ifsc.results.info/event/483/
Kazo,13/10/2007 – 14/10/2007,https://ifsc.results.info/event/494/
EYS Linz,27/10/2007 – 28/10/2007,https://ifsc.results.info/event/496/
Valence,02/11/2007 – 03/11/2007,https://ifsc.results.info/event/484/
Asiacup2007,05/11/2007 – 06/11/2007,https://ifsc.results.info/event/511/
Brno,09/11/2007 – 10/11/2007,https://ifsc.results.info/event/488/
Guangzhou,08/11/2007 – 11/11/2007,https://ifsc.results.info/event/485/
Kranj,17/11/2007 – 18/11/2007,https://ifsc.results.info/event/486/
EYS Kranj,24/11/2007 – 25/11/2007,https://ifsc.results.info/event/495/
08_PE_KI,04/04/2008 – 05/04/2008,https://ifsc.results.info/event/540/
HALL,18/04/2008 – 19/04/2008,https://ifsc.results.info/event/512/
08_JS_MA,19/04/2008 – 20/04/2008,https://ifsc.results.info/event/541/
TRENTO,27/04/2008,https://ifsc.results.info/event/513/
08_PE_SH,01/05/2008 – 03/05/2008,https://ifsc.results.info/event/542/
REUNION,02/05/2008 – 03/05/2008,https://ifsc.results.info/event/514/
08_AC,21/05/2008 – 25/05/2008,https://ifsc.results.info/event/543/
08_JS_IM,10/05/2008 – 11/05/2008,https://ifsc.results.info/event/544/
08_JS_PR,17/05/2008 – 18/05/2008,https://ifsc.results.info/event/532/
08_IE_DI,23/05/2008 – 24/05/2008,https://ifsc.results.info/event/529/
08_PE_ME,08/05/2008 – 11/05/2008,https://ifsc.results.info/event/545/
GRINDELWALD,30/05/2008 – 31/05/2008,https://ifsc.results.info/event/515/
08_JS_RJ,07/06/2008 – 08/06/2008,https://ifsc.results.info/event/516/
VAIL,06/06/2008 – 07/06/2008,https://ifsc.results.info/event/546/
08_EY_WU,21/06/2008 – 22/06/2008,https://ifsc.results.info/event/517/
FIERA DI PRIMIERO,13/06/2008 – 14/06/2008,https://ifsc.results.info/event/533/
QINGHAI,27/06/2008 – 28/06/2008,https://ifsc.results.info/event/518/
08_PE_ZS,28/06/2008 – 29/06/2008,https://ifsc.results.info/event/547/
MONTAUBAN,04/07/2008 – 05/07/2008,https://ifsc.results.info/event/519/
CHAMONIX,12/07/2008 – 13/07/2008,https://ifsc.results.info/event/548/
08_JS_KA,04/07/2008 – 06/07/2008,https://ifsc.results.info/event/520/
VAL DAONE,19/07/2008 – 20/07/2008,https://ifsc.results.info/event/521/
08_IE_SE,25/07/2008 – 26/07/2008,https://ifsc.results.info/event/549/
,31/07/2008 – 03/08/2008,https://ifsc.results.info/event/550/
08_PE_AR,30/07/2008 – 01/08/2008,https://ifsc.results.info/event/551/
,20/08/2008 – 24/08/2008,https://ifsc.results.info/event/552/
Sidney,28/08/2008 – 31/08/2008,https://ifsc.results.info/event/527/
08_WC_BE,12/09/2008 – 13/09/2008,https://ifsc.results.info/event/553/
08_PE_SB,30/08/2008 – 31/08/2008,https://ifsc.results.info/event/554/
08_WC_IM,19/09/2008 – 20/09/2008,https://ifsc.results.info/event/522/
08_IE_AR,06/09/2008 – 07/09/2008,https://ifsc.results.info/event/523/
08_WC_PU,26/09/2008 – 27/09/2008,https://ifsc.results.info/event/524/
08EYC_IM,27/09/2008 – 28/09/2008,https://ifsc.results.info/event/534/
,28/09/2008 – 02/10/2008,https://ifsc.results.info/event/555/
,03/10/2008 – 05/10/2008,https://ifsc.results.info/event/539/
,08/10/2008 – 12/10/2008,https://ifsc.results.info/event/537/
Paris,15/10/2008 – 18/10/2008,https://ifsc.results.info/event/531/
,28/10/2008,https://ifsc.results.info/event/556/
08_IE_SH,28/10/2008 – 29/10/2008,https://ifsc.results.info/event/557/
,31/10/2008 – 01/11/2008,https://ifsc.results.info/event/528/
08_WC_MS,31/10/2008 – 02/11/2008,https://ifsc.results.info/event/530/
,30/10/2008 – 02/11/2008,https://ifsc.results.info/event/525/
08_EY_AN,01/11/2008 – 02/11/2008,https://ifsc.results.info/event/535/
08_WC_KR,15/11/2008 – 16/11/2008,https://ifsc.results.info/event/526/
08_EY_KR,22/11/2008 – 23/11/2008,https://ifsc.results.info/event/536/
,28/11/2008 – 29/11/2008,https://ifsc.results.info/event/558/
,07/03/2009,https://ifsc.results.info/event/559/
,29/11/2008,https://ifsc.results.info/event/538/
08_NC,04/12/2008 – 07/12/2008,https://ifsc.results.info/event/589/
WC Tarnow,18/04/2009 – 19/04/2009,https://ifsc.results.info/event/560/
,17/04/2009 – 18/04/2009,https://ifsc.results.info/event/578/
WC Kazo,11/04/2009 – 12/04/2009,https://ifsc.results.info/event/561/
WC Trento,25/04/2009 – 26/04/2009,https://ifsc.results.info/event/562/
,30/04/2009 – 05/05/2009,https://ifsc.results.info/event/587/
WC Hall,01/05/2009 – 02/05/2009,https://ifsc.results.info/event/563/
,08/05/2009 – 09/05/2009,https://ifsc.results.info/event/590/
09_03,02/05/2009 – 03/05/2009,https://ifsc.results.info/event/591/
,07/05/2009 – 10/05/2009,https://ifsc.results.info/event/592/
,14/05/2009 – 17/05/2009,https://ifsc.results.info/event/593/
,30/05/2009 – 31/05/2009,https://ifsc.results.info/event/581/
WC Wien,29/05/2009 – 30/05/2009,https://ifsc.results.info/event/564/
EYS Imst,23/05/2009 – 24/05/2009,https://ifsc.results.info/event/594/
,06/06/2009 – 07/06/2009,https://ifsc.results.info/event/565/
WC Vail,05/06/2009 – 06/06/2009,https://ifsc.results.info/event/595/
Quinghai,30/06/2009 – 05/07/2009,https://ifsc.results.info/event/566/
,10/07/2009 – 12/07/2009,https://ifsc.results.info/event/596/
,20/06/2009 – 21/06/2009,https://ifsc.results.info/event/568/
WC Eindhoven,12/06/2009 – 13/06/2009,https://ifsc.results.info/event/567/
Qinghai 15m,30/06/2009 – 05/07/2009,https://ifsc.results.info/event/597/
,24/07/2009 – 25/07/2009,https://ifsc.results.info/event/569/
,18/07/2009 – 19/07/2009,https://ifsc.results.info/event/588/
,18/07/2009 – 19/07/2009,https://ifsc.results.info/event/598/
,24/07/2009 – 26/07/2009,https://ifsc.results.info/event/580/
WC Chamonix,12/07/2009 – 13/07/2009,https://ifsc.results.info/event/599/
,25/07/2009,https://ifsc.results.info/event/600/
,29/07/2009 – 31/07/2009,https://ifsc.results.info/event/601/
,01/08/2009 – 02/08/2009,https://ifsc.results.info/event/577/
WC Barcelona,08/08/2009 – 09/08/2009,https://ifsc.results.info/event/570/
WC Daone,01/08/2009 – 02/08/2009,https://ifsc.results.info/event/571/
WC Imst,21/08/2009 – 22/08/2009,https://ifsc.results.info/event/602/
,15/08/2009,https://ifsc.results.info/event/572/
,28/08/2009 – 29/08/2009,https://ifsc.results.info/event/576/
Asia Championship,28/08/2009 – 30/08/2009,https://ifsc.results.info/event/579/
,27/08/2009 – 30/08/2009,https://ifsc.results.info/event/603/
,29/08/2009 – 30/08/2009,https://ifsc.results.info/event/604/
,05/09/2009 – 06/09/2009,https://ifsc.results.info/event/605/
,11/09/2009 – 12/09/2009,https://ifsc.results.info/event/606/
EYS Edinburgh,19/09/2009 – 20/09/2009,https://ifsc.results.info/event/582/
EYS Munich,12/09/2009 – 13/09/2009,https://ifsc.results.info/event/583/
,03/10/2009 – 04/10/2009,https://ifsc.results.info/event/573/
WC Puurs,25/09/2009 – 26/09/2009,https://ifsc.results.info/event/586/
,15/10/2009 – 16/10/2009,https://ifsc.results.info/event/607/
WC Brno,06/11/2009 – 07/11/2009,https://ifsc.results.info/event/584/
EYS Kaliningrad,16/10/2009 – 18/10/2009,https://ifsc.results.info/event/574/
WC Kranj,14/11/2009 – 15/11/2009,https://ifsc.results.info/event/575/
EYS Kranj,21/11/2009 – 22/11/2009,https://ifsc.results.info/event/585/
PE Dornbirn,13/03/2010 – 14/03/2010,https://ifsc.results.info/event/644/
Pollone,20/03/2010,https://ifsc.results.info/event/643/
Sheffield PromoEvent,20/03/2010,https://ifsc.results.info/event/641/
CISM Courmayeur,21/03/2010 – 22/03/2010,https://ifsc.results.info/event/640/
REC Greece,23/04/2010 – 24/04/2010,https://ifsc.results.info/event/645/
Melloblocco,06/05/2010 – 09/05/2010,https://ifsc.results.info/event/642/
Kitzbuhel Promo,23/04/2010 – 24/04/2010,https://ifsc.results.info/event/608/
WC Trento,30/04/2010 – 01/05/2010,https://ifsc.results.info/event/647/
Melloblocco Promo,06/05/2010 – 09/05/2010,https://ifsc.results.info/event/646/
WC Greifensee,14/05/2010 – 15/05/2010,https://ifsc.results.info/event/609/
Youth Color Imst,21/05/2010 – 23/05/2010,https://ifsc.results.info/event/637/
PACH Quito,18/05/2010 – 22/05/2010,https://ifsc.results.info/event/648/
WC Wien,28/05/2010 – 30/05/2010,https://ifsc.results.info/event/610/
WC Vail,04/06/2010 – 05/06/2010,https://ifsc.results.info/event/611/
Rock Junior Arco,04/06/2010 – 05/06/2010,https://ifsc.results.info/event/650/
EYS_Imst,05/06/2010 – 06/06/2010,https://ifsc.results.info/event/631/
Rockjunior Arco,05/06/2010 – 06/06/2010,https://ifsc.results.info/event/649/
WC Moscow,17/06/2010 – 21/06/2010,https://ifsc.results.info/event/612/
Ambrosia Boulder,25/06/2010 – 27/06/2010,https://ifsc.results.info/event/651/
WC Eindhoven,25/06/2010 – 26/06/2010,https://ifsc.results.info/event/613/
Jun Marathon,26/06/2010 – 27/06/2010,https://ifsc.results.info/event/652/
IE Petzen,09/07/2010 – 11/07/2010,https://ifsc.results.info/event/614/
WC Sheffield,03/07/2010 – 04/07/2010,https://ifsc.results.info/event/654/
Petzen Climbing,09/07/2010 – 11/07/2010,https://ifsc.results.info/event/653/
Wc Chamonix,12/07/2010 – 13/07/2010,https://ifsc.results.info/event/615/
ESC Friedrichshafen,15/07/2010,https://ifsc.results.info/event/628/
EYS Freidrichshafen,15/07/2010,https://ifsc.results.info/event/632/
Argentiere Boulder,22/07/2010 – 24/07/2010,https://ifsc.results.info/event/655/
Rockmaster Arco,16/07/2010 – 18/07/2010,https://ifsc.results.info/event/656/
Argentiere Boulder,21/07/2010 – 23/07/2010,https://ifsc.results.info/event/657/
10_Arco_Duel,18/07/2010,https://ifsc.results.info/event/658/
IE L'Argentiere,21/07/2010 – 23/07/2010,https://ifsc.results.info/event/660/
Paraclimbing Daone,24/07/2010 – 25/07/2010,https://ifsc.results.info/event/659/
Argentiere Youth,22/07/2010 – 24/07/2010,https://ifsc.results.info/event/624/
WC Daone,24/07/2010 – 25/07/2010,https://ifsc.results.info/event/616/
Paraclimbing Daone,24/07/2010 – 25/07/2010,https://ifsc.results.info/event/625/
Lead Master Briancon,29/07/2010 – 31/07/2010,https://ifsc.results.info/event/661/
WC Xining,20/08/2010 – 21/08/2010,https://ifsc.results.info/event/617/
,06/09/2010 – 07/09/2010,https://ifsc.results.info/event/633/
WC Chuncheon,28/08/2010 – 30/08/2010,https://ifsc.results.info/event/618/
WC Munich,30/07/2010 – 31/07/2010,https://ifsc.results.info/event/619/
EYS Wien,14/08/2010 – 15/08/2010,https://ifsc.results.info/event/662/
WC Puurs,24/09/2010 – 25/09/2010,https://ifsc.results.info/event/623/
ECH Imst/Innsbruck,14/09/2010 – 18/09/2010,https://ifsc.results.info/event/629/
ACH_Changzi,16/09/2010 – 19/09/2010,https://ifsc.results.info/event/627/
Youyang Promo,28/09/2010 – 30/09/2010,https://ifsc.results.info/event/620/
Youth World Champ.,09/09/2010 – 12/09/2010,https://ifsc.results.info/event/663/
RM_Jangyin,02/11/2010 – 03/11/2010,https://ifsc.results.info/event/639/
EYS Annecy,23/10/2010 – 24/10/2010,https://ifsc.results.info/event/634/
WC Huaiji,29/10/2010 – 30/10/2010,https://ifsc.results.info/event/635/
EYS Veliko Tarnovo,02/10/2010 – 03/10/2010,https://ifsc.results.info/event/621/
Oceania Championship,01/10/2010 – 03/10/2010,https://ifsc.results.info/event/664/
WC Kranj,13/11/2010 – 14/11/2010,https://ifsc.results.info/event/622/
ESC Nicosia,04/12/2010 – 05/12/2010,https://ifsc.results.info/event/636/
EYS Kranj,20/11/2010 – 21/11/2010,https://ifsc.results.info/event/638/
PAC YCH Ibarra,23/11/2010 – 28/11/2010,https://ifsc.results.info/event/630/
Paraclimbing Chiba,04/12/2010 – 05/12/2010,https://ifsc.results.info/event/626/
Promo CupOFF Prague,19/02/2011 – 20/02/2011,https://ifsc.results.info/event/705/
Sheffield_Promo,05/03/2011 – 06/03/2011,https://ifsc.results.info/event/706/
RC Kinder Küblis,06/03/2011,https://ifsc.results.info/event/707/
RC Junior Dornbirn,09/04/2011,https://ifsc.results.info/event/708/
Promo_Nordic,01/04/2011 – 02/04/2011,https://ifsc.results.info/event/709/
Vienna,13/05/2011 – 14/05/2011,https://ifsc.results.info/event/665/
Log-Dragomer,07/05/2011 – 08/05/2011,https://ifsc.results.info/event/710/
RC Eidechsli Chur,30/04/2011,https://ifsc.results.info/event/711/
Promo_Melloblocco,05/05/2011 – 08/05/2011,https://ifsc.results.info/event/667/
Milano,14/04/2011 – 17/04/2011,https://ifsc.results.info/event/668/
Tarnow,14/05/2011,https://ifsc.results.info/event/694/
Skopje_Under14,27/05/2011 – 29/05/2011,https://ifsc.results.info/event/695/
Edinburgh,20/05/2011 – 22/05/2011,https://ifsc.results.info/event/669/
Canmore,27/05/2011 – 28/05/2011,https://ifsc.results.info/event/712/
Vail,03/06/2011 – 04/06/2011,https://ifsc.results.info/event/670/
Youth Color Imst,11/06/2011 – 12/06/2011,https://ifsc.results.info/event/713/
Eindhoven,17/06/2011 – 18/06/2011,https://ifsc.results.info/event/671/
,23/06/2011 – 25/06/2011,https://ifsc.results.info/event/714/
Barcelona,25/06/2011 – 26/06/2011,https://ifsc.results.info/event/672/
Petzen Climbing,07/07/2011 – 08/07/2011,https://ifsc.results.info/event/673/
Sheffield,02/07/2011 – 03/07/2011,https://ifsc.results.info/event/715/
Chamonix,09/07/2011 – 10/07/2011,https://ifsc.results.info/event/696/
Promo Mammut,09/07/2011 – 10/07/2011,https://ifsc.results.info/event/716/
Chamonix,12/07/2011 – 13/07/2011,https://ifsc.results.info/event/674/
Friedrichshafen,14/07/2011,https://ifsc.results.info/event/697/
WCH Arco 2011,15/07/2011 – 24/07/2011,https://ifsc.results.info/event/675/
Arco_Paraclimbing,18/07/2011 – 19/07/2011,https://ifsc.results.info/event/691/
Paraclimbing LEAD,17/07/2011 – 18/07/2011,https://ifsc.results.info/event/690/
Arco Group A,20/07/2011 – 21/07/2011,https://ifsc.results.info/event/676/
Arco Group B,20/07/2011 – 21/07/2011,https://ifsc.results.info/event/677/
Rockmaster Duel,23/07/2011 – 24/07/2011,https://ifsc.results.info/event/717/
Under14_Veliko,27/07/2011 – 29/07/2011,https://ifsc.results.info/event/718/
Asian_Youth_Chp,28/07/2011 – 30/07/2011,https://ifsc.results.info/event/693/
Briançon,29/07/2011 – 30/07/2011,https://ifsc.results.info/event/719/
,28/07/2011 – 31/07/2011,https://ifsc.results.info/event/678/
Veliko,01/08/2011 – 04/08/2011,https://ifsc.results.info/event/698/
Arendal Promo,12/08/2011 – 14/08/2011,https://ifsc.results.info/event/679/
Daone,06/08/2011 – 07/08/2011,https://ifsc.results.info/event/720/
Imst,12/08/2011 – 14/08/2011,https://ifsc.results.info/event/699/
Munich,19/08/2011 – 20/08/2011,https://ifsc.results.info/event/680/
YWC Imst,25/08/2011 – 28/08/2011,https://ifsc.results.info/event/689/
Changzhi,07/09/2011 – 08/09/2011,https://ifsc.results.info/event/681/
Xining,02/09/2011 – 03/09/2011,https://ifsc.results.info/event/682/
Meran,10/09/2011 – 11/09/2011,https://ifsc.results.info/event/700/
Munich,16/09/2011 – 17/09/2011,https://ifsc.results.info/event/701/
Promo_Oloront,24/09/2011 – 25/09/2011,https://ifsc.results.info/event/723/
Megusta-Kids-Cup,24/09/2011,https://ifsc.results.info/event/722/
Speed Megusta,24/09/2011,https://ifsc.results.info/event/721/
Arco Rock Junior,01/10/2011 – 02/10/2011,https://ifsc.results.info/event/683/
Puurs,30/09/2011 – 01/10/2011,https://ifsc.results.info/event/724/
Jiangyin_11,15/10/2011 – 16/10/2011,https://ifsc.results.info/event/684/
Boulder,08/10/2011 – 09/10/2011,https://ifsc.results.info/event/725/
Amman,20/10/2011 – 21/10/2011,https://ifsc.results.info/event/685/
Valence,28/10/2011 – 29/10/2011,https://ifsc.results.info/event/686/
SEAGames_11,11/11/2011 – 22/11/2011,https://ifsc.results.info/event/704/
Kranj,19/11/2011 – 20/11/2011,https://ifsc.results.info/event/702/
Pau,11/11/2011 – 12/11/2011,https://ifsc.results.info/event/687/
Barcelona,26/11/2011 – 27/11/2011,https://ifsc.results.info/event/688/
RC Nikoloklettern Do,03/12/2011,https://ifsc.results.info/event/703/
Kranj,26/11/2011 – 27/11/2011,https://ifsc.results.info/event/726/
Asian_Championship,09/12/2011 – 11/12/2011,https://ifsc.results.info/event/692/
Master Chile,16/03/2012 – 17/03/2012,https://ifsc.results.info/event/766/
Master Iran,01/02/2012 – 05/02/2012,https://ifsc.results.info/event/767/
Promo_Sheffield_12,10/03/2012 – 11/03/2012,https://ifsc.results.info/event/768/
RC Dornbirn Junior,24/03/2012,https://ifsc.results.info/event/769/
RB Küblis,15/04/2012,https://ifsc.results.info/event/727/
Chongqing,13/04/2012 – 14/04/2012,https://ifsc.results.info/event/770/
Log-Dragomer,21/04/2012 – 22/04/2012,https://ifsc.results.info/event/728/
Asian_Ch_12,25/04/2012 – 28/04/2012,https://ifsc.results.info/event/750/
Vienna,27/04/2012 – 28/04/2012,https://ifsc.results.info/event/729/
RC Chur,12/05/2012,https://ifsc.results.info/event/771/
melloblocco_12,05/05/2012 – 06/05/2012,https://ifsc.results.info/event/772/
JPN_Promo,13/05/2012,https://ifsc.results.info/event/773/
Innsbruck,18/05/2012 – 19/05/2012,https://ifsc.results.info/event/730/
Edinburgh,18/05/2012 – 20/05/2012,https://ifsc.results.info/event/753/
promo_Peru_Lead,26/05/2012 – 27/05/2012,https://ifsc.results.info/event/754/
YCCF_12,26/05/2012 – 27/05/2012,https://ifsc.results.info/event/775/
Moscow,25/05/2012 – 27/05/2012,https://ifsc.results.info/event/774/
Vail,01/06/2012 – 02/06/2012,https://ifsc.results.info/event/731/
Grindelwald,02/06/2012 – 03/06/2012,https://ifsc.results.info/event/755/
Voiron,09/06/2012,https://ifsc.results.info/event/756/
promo_Peru_LS,25/06/2012 – 01/07/2012,https://ifsc.results.info/event/776/
Linz,30/06/2012 – 01/07/2012,https://ifsc.results.info/event/757/
Munich_Promo_12,01/07/2012,https://ifsc.results.info/event/777/
Petzen_12,06/07/2012 – 08/07/2012,https://ifsc.results.info/event/778/
Chamonix,08/07/2012,https://ifsc.results.info/event/758/
Chamonix,12/07/2012 – 13/07/2012,https://ifsc.results.info/event/752/
Asian_Youth_Chp_12,11/07/2012 – 13/07/2012,https://ifsc.results.info/event/732/
Daone,28/07/2012 – 29/07/2012,https://ifsc.results.info/event/779/
Briançon,20/07/2012 – 21/07/2012,https://ifsc.results.info/event/733/
Promo_Friedrichshafe,14/07/2012,https://ifsc.results.info/event/759/
Argentiere,25/07/2012 – 26/07/2012,https://ifsc.results.info/event/734/
Imst,04/08/2012 – 05/08/2012,https://ifsc.results.info/event/760/
Adidas_Promo_12,10/08/2012 – 11/08/2012,https://ifsc.results.info/event/780/
Imst,10/08/2012 – 11/08/2012,https://ifsc.results.info/event/735/
Arco_RJ_2012,25/08/2012 – 26/08/2012,https://ifsc.results.info/event/761/
Pieve,11/08/2012,https://ifsc.results.info/event/781/
Munich,25/08/2012 – 26/08/2012,https://ifsc.results.info/event/736/
Arco_RM_12,01/09/2012 – 02/09/2012,https://ifsc.results.info/event/748/
YWCH Singapore,29/08/2012 – 01/09/2012,https://ifsc.results.info/event/747/
Arco_Paraclimbing_12,27/08/2012 – 28/08/2012,https://ifsc.results.info/event/782/
Arco_Open,30/08/2012 – 31/08/2012,https://ifsc.results.info/event/783/
Arco,01/09/2012 – 02/09/2012,https://ifsc.results.info/event/737/
Paris,11/09/2012 – 12/09/2012,https://ifsc.results.info/event/740/
Paris,11/09/2012 – 12/09/2012,https://ifsc.results.info/event/739/
Puurs,21/09/2012 – 22/09/2012,https://ifsc.results.info/event/738/
Paraclimbing_WCH_12,12/09/2012 – 16/09/2012,https://ifsc.results.info/event/749/
WCH Paris,12/09/2012 – 16/09/2012,https://ifsc.results.info/event/741/
RC Megusta Chur,22/09/2012,https://ifsc.results.info/event/784/
Promo_Oloront_12,06/10/2012 – 07/10/2012,https://ifsc.results.info/event/785/
Atlanta,29/09/2012 – 30/09/2012,https://ifsc.results.info/event/742/
RC Megusta Speed,22/09/2012,https://ifsc.results.info/event/786/
Xining,12/10/2012 – 13/10/2012,https://ifsc.results.info/event/743/
Wujiang_12,16/10/2012 – 17/10/2012,https://ifsc.results.info/event/787/
Mokpo,20/10/2012 – 21/10/2012,https://ifsc.results.info/event/744/
Inzai,27/10/2012 – 28/10/2012,https://ifsc.results.info/event/745/
Asian_cup_12,03/11/2012 – 04/11/2012,https://ifsc.results.info/event/762/
,07/11/2012 – 10/11/2012,https://ifsc.results.info/event/751/
Gemozac,02/11/2012 – 04/11/2012,https://ifsc.results.info/event/764/
Kranj,17/11/2012 – 18/11/2012,https://ifsc.results.info/event/746/
Kranj,24/11/2012 – 25/11/2012,https://ifsc.results.info/event/765/
RC Dornbirn,08/12/2012,https://ifsc.results.info/event/763/
PAC YCH Santiago,21/11/2012 – 25/11/2012,https://ifsc.results.info/event/788/
Promo Sheffield,02/03/2013 – 03/03/2013,https://ifsc.results.info/event/830/
Chongqing,22/03/2013 – 23/03/2013,https://ifsc.results.info/event/789/
CISM,25/03/2013 – 29/03/2013,https://ifsc.results.info/event/828/
Millau,05/04/2013 – 06/04/2013,https://ifsc.results.info/event/790/
Melloblocco,26/04/2013 – 05/05/2013,https://ifsc.results.info/event/791/
Kitzbühel,26/04/2013 – 27/04/2013,https://ifsc.results.info/event/831/
Log-Dragomer,11/05/2013 – 12/05/2013,https://ifsc.results.info/event/792/
EC Ekaterinburg,16/05/2013 – 19/05/2013,https://ifsc.results.info/event/832/
JPN_Promo,12/05/2013,https://ifsc.results.info/event/815/
Innsbruck,17/05/2013 – 18/05/2013,https://ifsc.results.info/event/793/
YCCF_13,18/05/2013 – 19/05/2013,https://ifsc.results.info/event/833/
Asian Champ.,22/05/2013 – 24/05/2013,https://ifsc.results.info/event/813/
Adidas Kor,25/05/2013 – 26/05/2013,https://ifsc.results.info/event/827/
Oceania Championship,25/05/2013 – 26/05/2013,https://ifsc.results.info/event/834/
BEuro Grindelwald,25/05/2013 – 26/05/2013,https://ifsc.results.info/event/818/
Toronto,01/06/2013 – 02/06/2013,https://ifsc.results.info/event/794/
Vail,07/06/2013 – 08/06/2013,https://ifsc.results.info/event/795/
Kia Extreme Games,09/06/2013 – 10/06/2013,https://ifsc.results.info/event/819/
Edinburgh,08/06/2013 – 09/06/2013,https://ifsc.results.info/event/835/
Adidas Chn,15/06/2013 – 16/06/2013,https://ifsc.results.info/event/836/
Baku,22/06/2013 – 23/06/2013,https://ifsc.results.info/event/796/
Imst,29/06/2013,https://ifsc.results.info/event/820/
Sofia,28/06/2013 – 30/06/2013,https://ifsc.results.info/event/821/
Petzen,05/07/2013 – 07/07/2013,https://ifsc.results.info/event/837/
Munich Promo,07/07/2013,https://ifsc.results.info/event/838/
Chamonix,09/07/2013 – 11/07/2013,https://ifsc.results.info/event/822/
Cham_Paraclimbing_13,10/07/2013 – 13/07/2013,https://ifsc.results.info/event/809/
LSEuro Chamonix,10/07/2013 – 13/07/2013,https://ifsc.results.info/event/816/
Briançon,19/07/2013 – 20/07/2013,https://ifsc.results.info/event/797/
Val Daone,20/07/2013 – 21/07/2013,https://ifsc.results.info/event/839/
Argentiere,22/07/2013 – 23/07/2013,https://ifsc.results.info/event/823/
LSEuro Imst,25/07/2013 – 28/07/2013,https://ifsc.results.info/event/824/
TAB 2013,26/07/2013 – 27/07/2013,https://ifsc.results.info/event/840/
