Local,Date,Href
Scheidegg,13/10/2000 – 14/10/2000,https://ifsc.results.info/event/239/
L'Aprica,27/10/2000 – 28/10/2000,https://ifsc.results.info/event/232/
Nantes,01/11/2000 – 02/11/2000,https://ifsc.results.info/event/225/
Kranj,16/11/2000 – 17/11/2000,https://ifsc.results.info/event/226/
Kuala Lumpur,23/11/2000 – 24/11/2000,https://ifsc.results.info/event/228/
Kranj,01/12/2000 – 02/12/2000,https://ifsc.results.info/event/233/
Berkeley,02/02/2001 – 04/02/2001,https://ifsc.results.info/event/263/
Malmö,16/03/2001 – 17/03/2001,https://ifsc.results.info/event/264/
Apatity (Speed),28/03/2001 – 29/03/2001,https://ifsc.results.info/event/256/
Apatity,30/03/2001 – 01/04/2001,https://ifsc.results.info/event/257/
Trieste,06/04/2001 – 07/04/2001,https://ifsc.results.info/event/258/
Fontainebleau,07/06/2001 – 08/06/2001,https://ifsc.results.info/event/265/
Imst,15/06/2001 – 16/06/2001,https://ifsc.results.info/event/259/
YWC Imst 2001 SPEED,21/06/2001 – 24/06/2001,https://ifsc.results.info/event/251/
YWC Imst 2001,21/06/2001 – 24/06/2001,https://ifsc.results.info/event/250/
Gap,29/06/2001 – 30/06/2001,https://ifsc.results.info/event/240/
Chamonix,11/07/2001 – 15/07/2001,https://ifsc.results.info/event/260/
Arco,29/06/2001 – 30/06/2001,https://ifsc.results.info/event/241/
Lake Placid,12/07/2001 – 15/07/2001,https://ifsc.results.info/event/267/
Hood River,19/07/2001 – 21/07/2001,https://ifsc.results.info/event/268/
Munich,21/07/2001 – 22/07/2001,https://ifsc.results.info/event/269/
Serre-Chevalier,19/07/2001 – 20/07/2001,https://ifsc.results.info/event/242/
Teheran,25/07/2001 – 27/07/2001,https://ifsc.results.info/event/255/
L'Argentiere,26/07/2001 – 27/07/2001,https://ifsc.results.info/event/270/
Rovereto,31/08/2001 – 01/09/2001,https://ifsc.results.info/event/243/
Arco,14/09/2001 – 16/09/2001,https://ifsc.results.info/event/244/
Winterthur,05/09/2001 – 08/09/2001,https://ifsc.results.info/event/252/
Kunming,13/09/2001 – 14/09/2001,https://ifsc.results.info/event/271/
Lecco,21/09/2001 – 22/09/2001,https://ifsc.results.info/event/245/
Grenoble,05/10/2001 – 07/10/2001,https://ifsc.results.info/event/272/
Scheidegg,13/10/2001,https://ifsc.results.info/event/261/
Aprica,12/10/2001 – 13/10/2001,https://ifsc.results.info/event/273/
Aprica,18/10/2001 – 19/10/2001,https://ifsc.results.info/event/246/
Trieste,19/10/2001 – 21/10/2001,https://ifsc.results.info/event/266/
WarSaw,09/11/2001 – 10/11/2001,https://ifsc.results.info/event/253/
Kuala Lumpur,02/11/2001 – 04/11/2001,https://ifsc.results.info/event/247/
Taipei,23/11/2001 – 24/11/2001,https://ifsc.results.info/event/274/
Jakarta,26/10/2001 – 27/10/2001,https://ifsc.results.info/event/248/
Kranj,16/11/2001 – 18/11/2001,https://ifsc.results.info/event/254/
Birmingham,06/12/2001 – 07/12/2001,https://ifsc.results.info/event/249/
Birmingham,07/12/2001 – 09/12/2001,https://ifsc.results.info/event/262/
Marseille,12/04/2002 – 13/04/2002,https://ifsc.results.info/event/297/
Latin American,31/12/2001 – 01/01/2002,https://ifsc.results.info/event/299/
Klimax,20/04/2002,https://ifsc.results.info/event/300/
Yekaterinburg 3,25/05/2002 – 26/05/2002,https://ifsc.results.info/event/275/
Imst,06/06/2002 – 07/06/2002,https://ifsc.results.info/event/276/
Yekaterinburg 2,22/05/2002,https://ifsc.results.info/event/277/
Fiera di Primiero,13/06/2002 – 14/06/2002,https://ifsc.results.info/event/278/
Bolzano,26/04/2002 – 28/04/2002,https://ifsc.results.info/event/279/
Yekaterinburg,17/05/2002 – 19/05/2002,https://ifsc.results.info/event/280/
Imst,14/06/2002 – 15/06/2002,https://ifsc.results.info/event/293/
Arco,21/06/2002 – 22/06/2002,https://ifsc.results.info/event/294/
Arco Junior,21/06/2002 – 23/06/2002,https://ifsc.results.info/event/301/
Lecco,24/06/2002,https://ifsc.results.info/event/281/
Lecco,25/06/2002 – 26/06/2002,https://ifsc.results.info/event/282/
Lecco,28/06/2002 – 29/06/2002,https://ifsc.results.info/event/283/
Chamonix,11/07/2002 – 14/07/2002,https://ifsc.results.info/event/292/
Serre Chevalier,18/07/2002 – 19/07/2002,https://ifsc.results.info/event/302/
Daone,28/07/2002,https://ifsc.results.info/event/303/
Singapore,23/08/2002 – 25/08/2002,https://ifsc.results.info/event/304/
L'Argentière,25/07/2002 – 26/07/2002,https://ifsc.results.info/event/284/
Arco,06/09/2002 – 07/09/2002,https://ifsc.results.info/event/305/
Canteleu,26/09/2002 – 27/09/2002,https://ifsc.results.info/event/285/
Rovereto,13/09/2002 – 14/09/2002,https://ifsc.results.info/event/288/
Canteleu,27/09/2002 – 28/09/2002,https://ifsc.results.info/event/289/
Toyama,11/10/2002 – 12/10/2002,https://ifsc.results.info/event/290/
North American Youth,08/11/2002 – 09/11/2002,https://ifsc.results.info/event/286/
Aprica,17/10/2002 – 18/10/2002,https://ifsc.results.info/event/298/
Veliko Tarnovo,08/11/2002 – 09/11/2002,https://ifsc.results.info/event/295/
Kranj,15/11/2002 – 17/11/2002,https://ifsc.results.info/event/287/
Kranj,22/11/2002 – 23/11/2002,https://ifsc.results.info/event/296/
Schengzheng,06/12/2002 – 07/12/2002,https://ifsc.results.info/event/306/
Malaysia,20/12/2002 – 21/12/2002,https://ifsc.results.info/event/291/
North American Youth,31/12/2002 – 01/01/2003,https://ifsc.results.info/event/333/
Birmingham,14/03/2003 – 16/03/2003,https://ifsc.results.info/event/335/
Marseille,25/04/2003 – 26/04/2003,https://ifsc.results.info/event/336/
Imst,16/05/2003 – 17/05/2003,https://ifsc.results.info/event/334/
Imst,22/05/2003 – 23/05/2003,https://ifsc.results.info/event/328/
Mexico,23/05/2003 – 25/05/2003,https://ifsc.results.info/event/307/
Oslo,02/05/2003 – 03/05/2003,https://ifsc.results.info/event/332/
Rock Junior,30/05/2003 – 31/05/2003,https://ifsc.results.info/event/337/
Arco,30/05/2003 – 31/05/2003,https://ifsc.results.info/event/308/
Yekaterinburg B+S,30/05/2003 – 01/06/2003,https://ifsc.results.info/event/329/
Yekaterinburg S,04/06/2003,https://ifsc.results.info/event/309/
YCCF Imst,06/06/2003 – 07/06/2003,https://ifsc.results.info/event/338/
Yekaterinburg D+S,06/06/2003 – 08/06/2003,https://ifsc.results.info/event/310/
Fiera di Primiero,13/06/2003 – 15/06/2003,https://ifsc.results.info/event/311/
Lecco Bouldern,24/06/2003 – 25/06/2003,https://ifsc.results.info/event/312/
Lecco Speed,23/06/2003,https://ifsc.results.info/event/313/
Lecco,27/06/2003 – 28/06/2003,https://ifsc.results.info/event/314/
Ravenna,27/06/2003 – 29/06/2003,https://ifsc.results.info/event/339/
Daone,30/06/2003 – 01/07/2003,https://ifsc.results.info/event/340/
Serre Chevalier,17/07/2003 – 18/07/2003,https://ifsc.results.info/event/341/
Val Daone,25/07/2003 – 26/07/2003,https://ifsc.results.info/event/315/
Argentiere,24/07/2003 – 25/07/2003,https://ifsc.results.info/event/342/
Zaragosa,04/07/2003 – 05/07/2003,https://ifsc.results.info/event/316/
