Year,Event Title,Href,Location,Date
2010,European Youth Series - Kranj (SLO) 2010,https://ifsc.results.info/event/636/,ESC Nicosia,04/12/2010 – 05/12/2010
2010,"IFSC PanAmerican Championship (L, S, B) - Quito (ECU) 2010",https://ifsc.results.info/event/637/,Youth Color Imst,21/05/2010 – 23/05/2010
2010,"PanAmerican Youth Championship (L,S, B) - Ibarra (ECU)",https://ifsc.results.info/event/638/,EYS Kranj,20/11/2010 – 21/11/2010
2010,Oceania Continental Championship - Auckland (NZL) 2010,https://ifsc.results.info/event/639/,RM_Jangyin,02/11/2010 – 03/11/2010
2010,CISM Winter Military World Games - Courmayeur (ITA) 2010,https://ifsc.results.info/event/640/,CISM Courmayeur,21/03/2010 – 22/03/2010
2010,International University Bouldering Trophy Avogadro - Pollone (ITA) 2010,https://ifsc.results.info/event/641/,Sheffield PromoEvent,20/03/2010
2010,Regional European Competition (L + S) - Volos and Almyros (GRE) 2010,https://ifsc.results.info/event/642/,Melloblocco,06/05/2010 – 09/05/2010
2010,European Promo Event - Boulder - Sheffield (GBR) 2010,https://ifsc.results.info/event/643/,Pollone,20/03/2010
2010,Promo Event - Bodensee Climbing Trophy - Dornbirn (AUT) 2010,https://ifsc.results.info/event/644/,PE Dornbirn,13/03/2010 – 14/03/2010
2010,Promotional Event - Kitzbuhel (AUT) 2010,https://ifsc.results.info/event/645/,REC Greece,23/04/2010 – 24/04/2010
2010,Promotional Event - Melloblocco (ITA) 2010,https://ifsc.results.info/event/646/,Melloblocco Promo,06/05/2010 – 09/05/2010
2010,Promo Event - Melloblocco (ITA) 2010,https://ifsc.results.info/event/647/,WC Trento,30/04/2010 – 01/05/2010
2010,Intl. Event - Youth Color Climbing Festival - Imst (AUT) 2010,https://ifsc.results.info/event/648/,PACH Quito,18/05/2010 – 22/05/2010
2010,International Youth Event - Rockjunior - Arco (ITA) 2010,https://ifsc.results.info/event/649/,Rockjunior Arco,05/06/2010 – 06/06/2010
2020,IFSC - Climbing World Cup (L) - Briançon (FRA) 2020,https://ifsc.results.info/event/65/,Belgrad (KOS),14/08/2020 – 16/08/2020
2010,Intl. Event - Rock Junior - Arco (ITA) 2010,https://ifsc.results.info/event/650/,Rock Junior Arco,04/06/2010 – 05/06/2010
2010,Ambrosia Boulder Contest - Zsombo (HUN) 2010,https://ifsc.results.info/event/651/,Ambrosia Boulder,25/06/2010 – 27/06/2010
2010,"Junior Climbing Marathon (B, L) - Traversella (ITA) 2010",https://ifsc.results.info/event/652/,Jun Marathon,26/06/2010 – 27/06/2010
2010,International Event - Petzen Climbing Trophy - Petzen (AUT) 2010,https://ifsc.results.info/event/653/,Petzen Climbing,09/07/2010 – 11/07/2010
2010,"Intl. Youth Event - Petzen Climbing Trophy (L, S, B) - Petzen (AUT) 2010",https://ifsc.results.info/event/654/,WC Sheffield,03/07/2010 – 04/07/2010
2010,Rock Master - World Championship Pre-event - Arco (ITA),https://ifsc.results.info/event/655/,Argentiere Boulder,22/07/2010 – 24/07/2010
2010,Rockmaster ARCO 2010 - Duel Lead,https://ifsc.results.info/event/656/,Rockmaster Arco,16/07/2010 – 18/07/2010
2010,European Youth Bouldering Event - L'Argeniere (FRA) 2010,https://ifsc.results.info/event/657/,Argentiere Boulder,21/07/2010 – 23/07/2010
2010,Promo Event (B) - Boulder Promo - Argentiere (FRA) 2010,https://ifsc.results.info/event/658/,10_Arco_Duel,18/07/2010
2010,European Youth Bouldering Event - L'Argentiere (FRA) 2010,https://ifsc.results.info/event/659/,Paraclimbing Daone,24/07/2010 – 25/07/2010
2010,L'Argentiere Boulder Promo - L'Argentiere (FRA) 2010,https://ifsc.results.info/event/660/,IE L'Argentiere,21/07/2010 – 23/07/2010
2010,"Lead International Event, Open International - Briancon (FRA) 2010",https://ifsc.results.info/event/661/,Lead Master Briancon,29/07/2010 – 31/07/2010
2010,HydroMaster Irkutsk - Irkutsk (RUS) 2010,https://ifsc.results.info/event/662/,EYS Wien,14/08/2010 – 15/08/2010
2010,"Promotional Event - Youyang, Chongqing (CHN)",https://ifsc.results.info/event/663/,Youth World Champ.,09/09/2010 – 12/09/2010
2010,Jiangyin Rock Master - Jiangyin (CHN) 2010,https://ifsc.results.info/event/664/,Oceania Championship,01/10/2010 – 03/10/2010
2011,"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",https://ifsc.results.info/event/665/,Vienna,13/05/2011 – 14/05/2011
2011,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2011,https://ifsc.results.info/event/667/,Promo_Melloblocco,05/05/2011 – 08/05/2011
2011,IFSC Climbing Worldcup (B) - Vienna (AUT) 2011,https://ifsc.results.info/event/668/,Milano,14/04/2011 – 17/04/2011
