year,event_id,event,cup_id,cup_name,location,country,local_start_date,local_end_date,event_url
2000,220,UIAA Worldcup - München (GER) 2000,23,UIAA Climbing-Worldcup 2000,München,,2000-08-03,2000-08-04,https://ifsc.results.info//api/v1/events/220
2000,221,UIAA Worldcup - Grenoble (FRA) 2000,23,UIAA Climbing-Worldcup 2000,Grenoble,,2000-08-31,2000-09-01,https://ifsc.results.info//api/v1/events/221
2000,227,UIAA World Youth Championship - Amsterdam (NED) 2000,,,Amsterdam,,2000-08-31,2000-09-01,https://ifsc.results.info//api/v1/events/227
2000,234,Pan American Cup - Peru 2000,,,Peru,,2000-08-31,2000-09-01,https://ifsc.results.info//api/v1/events/234
2000,238,Int. Event - Rock Master Arco (ITA) 2000,,,Arco,,2000-09-08,2000-09-09,https://ifsc.results.info//api/v1/events/238
2000,229,UIAA Asian Youth Championship - Beijing (CHN) 2000,,,Beijing,,2000-09-14,2000-09-15,https://ifsc.results.info//api/v1/events/229
2000,222,UIAA Worldcup - Rovereto (ITA) 2000,23,UIAA Climbing-Worldcup 2000,Rovereto,,2000-09-15,2000-09-16,https://ifsc.results.info//api/v1/events/222
2000,223,UIAA Worldcup - Lecco (ITA) 2000,23,UIAA Climbing-Worldcup 2000,Lecco,,2000-09-22,2000-09-23,https://ifsc.results.info//api/v1/events/223
2000,224,UIAA Worldcup - Courmayeur (ITA) 2000,23,UIAA Climbing-Worldcup 2000,Courmayeur,,2000-09-28,2000-09-29,https://ifsc.results.info//api/v1/events/224
2000,230,UIAA European Championship - München (GER) 2000,,,EM München,,2000-10-06,2000-10-07,https://ifsc.results.info//api/v1/events/230
2000,239,1. Int. SALEWA Masters - Scheidegg 2000,,,Scheidegg,,2000-10-13,2000-10-14,https://ifsc.results.info//api/v1/events/239
2000,232,European Youth Cup - L'Aprica (ITA) 2000,24,European Youth Cup 2000,L'Aprica,,2000-10-27,2000-10-28,https://ifsc.results.info//api/v1/events/232
2000,225,UIAA Worldcup - Nantes (FRA) 2000,23,UIAA Climbing-Worldcup 2000,Nantes,,2000-11-01,2000-11-02,https://ifsc.results.info//api/v1/events/225
2000,226,UIAA Worldcup - Kranj (SLO) 2000,23,UIAA Climbing-Worldcup 2000,Kranj,,2000-11-16,2000-11-17,https://ifsc.results.info//api/v1/events/226
2000,228,UIAA Asian Championship - Kuala Lumpur (MAS) 2000,,,Kuala Lumpur,,2000-11-23,2000-11-24,https://ifsc.results.info//api/v1/events/228
2000,233,European Youth Cup - Kranj (SLO) 2000,24,European Youth Cup 2000,Kranj,,2000-12-01,2000-12-02,https://ifsc.results.info//api/v1/events/233
2001,263,North American Youth Championship - Berkeley (USA) 2001,,,Berkeley,,2001-02-02,2001-02-04,https://ifsc.results.info//api/v1/events/263
2001,264,Reg. Event - Nordic Championship - Malmö (SWE) 2001,,,Malmö,,2001-03-16,2001-03-17,https://ifsc.results.info//api/v1/events/264
2001,256,European Youth Cup Speed - Apatity (RUS) 2001,,,Apatity (Speed),,2001-03-28,2001-03-29,https://ifsc.results.info//api/v1/events/256
2001,257,European Youth Cup - Apatity (RUS) 2001,26,European Youth Cup 2001,Apatity,,2001-03-30,2001-04-01,https://ifsc.results.info//api/v1/events/257
2001,258,European Youth Cup - Trieste (ITA) 2001,26,European Youth Cup 2001,Trieste,,2001-04-06,2001-04-07,https://ifsc.results.info//api/v1/events/258
2001,265,Int. Event - Fontainebleau (FRA) 2001,,,Fontainebleau,,2001-06-07,2001-06-08,https://ifsc.results.info//api/v1/events/265
2001,259,European Youth Cup - Imst (AUT) 2001,26,European Youth Cup 2001,Imst,,2001-06-15,2001-06-16,https://ifsc.results.info//api/v1/events/259
2001,251,UIAA Youth World Championship SPEED - Imst (AUT) 2001,,,YWC Imst 2001 SPEED,,2001-06-21,2001-06-24,https://ifsc.results.info//api/v1/events/251
2001,250,UIAA Youth World Championship - Imst(AUT) 2001,,,YWC Imst 2001,,2001-06-21,2001-06-24,https://ifsc.results.info//api/v1/events/250
2001,240,UIAA Worldcup - GAP (FRA) 2001,25,UIAA Climbing-Worldcup 2001,Gap,,2001-06-29,2001-06-30,https://ifsc.results.info//api/v1/events/240
2001,260,European Youth Cup - Arco (ITA) 2001,26,European Youth Cup 2001,Arco,,2001-06-29,2001-06-30,https://ifsc.results.info//api/v1/events/260
2001,241,UIAA Worldcup - Chamonix (FRA) 2001,25,UIAA Climbing-Worldcup 2001,Chamonix,,2001-07-11,2001-07-15,https://ifsc.results.info//api/v1/events/241
2001,267,Int. Event - Lake Placid (USA) 2001,,,Lake Placid,,2001-07-12,2001-07-15,https://ifsc.results.info//api/v1/events/267
2001,268,Int. Event - Hood River (USA) 2001,,,Hood River,,2001-07-19,2001-07-21,https://ifsc.results.info//api/v1/events/268
2001,269,Int. Event - Serre Chevalier (FRA) 2001,,,Serre-Chevalier,,2001-07-19,2001-07-20,https://ifsc.results.info//api/v1/events/269
2001,242,UIAA Worldcup - Munich (GER ) 2001,25,UIAA Climbing-Worldcup 2001,Munich,,2001-07-21,2001-07-22,https://ifsc.results.info//api/v1/events/242
2001,255,UIAA Asian Youth Championship - Teheran (IRI) 2001,,,Teheran,,2001-07-25,2001-07-27,https://ifsc.results.info//api/v1/events/255
2001,270,Int. Event - L'Argentiere (FRA) 2001,,,L'Argentiere,,2001-07-26,2001-07-27,https://ifsc.results.info//api/v1/events/270
2001,243,UIAA Worldcup - Rovereto (ITA) 2001,25,UIAA Climbing-Worldcup 2001,Rovereto,,2001-08-31,2001-09-01,https://ifsc.results.info//api/v1/events/243
2001,244,UIAA World Championship - Winterthur (SUI) 2001,,,Winterthur,,2001-09-05,2001-09-08,https://ifsc.results.info//api/v1/events/244
