ranking_category_id,ranking_category,dcat_name,discipline_kind,ranking_name,ranking_id,ranking_from,ranking_to,continental_council_ranking_url,athlete_id,athlete_name,firstname,lastname,federation_id,country,athlete_rank,athlete_score,photo_url,event_id,event_discipline_id,event_discipline_kind,event_rank,event_name,event_start_date,event_end_date,field_factor,gained_pts,original_pts,included
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,1170,POTOCAR Luka,Luka,POTOCAR,15,SLO,8,1880.0,,1412,1725,lead,11,IFSC World Cup Innsbruck 2025,2025-06-24T22:00:00.000Z,2025-06-29T21:59:00.000Z,1.0,325.0,325.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,1170,POTOCAR Luka,Luka,POTOCAR,15,SLO,8,1880.0,,1454,1771,lead,13,IFSC World Cup Comunidad de Madrid 2025,2025-07-17T22:00:00.000Z,2025-07-19T21:59:00.000Z,1.0,280.0,280.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,1170,POTOCAR Luka,Luka,POTOCAR,15,SLO,8,1880.0,,1416,1730,lead,19,IFSC World Cup Koper 2025,2025-09-04T22:00:00.000Z,2025-09-06T21:59:00.000Z,1.0,170.0,170.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,1029,PLACCI Giovanni,Giovanni,PLACCI,13,ITA,9,1805.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/7n8canltkrlwjxiokbb26sabgxtw,1417,1731,lead,8,IFSC World Championships Seoul 2025,2025-09-20T15:00:00.000Z,2025-09-28T14:59:00.000Z,2.0,830.0,830.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,1029,PLACCI Giovanni,Giovanni,PLACCI,13,ITA,9,1805.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/7n8canltkrlwjxiokbb26sabgxtw,1454,1771,lead,11,IFSC World Cup Comunidad de Madrid 2025,2025-07-17T22:00:00.000Z,2025-07-19T21:59:00.000Z,1.0,325.0,325.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,1029,PLACCI Giovanni,Giovanni,PLACCI,13,ITA,9,1805.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/7n8canltkrlwjxiokbb26sabgxtw,1412,1725,lead,13,IFSC World Cup Innsbruck 2025,2025-06-24T22:00:00.000Z,2025-06-29T21:59:00.000Z,1.0,280.0,280.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,1029,PLACCI Giovanni,Giovanni,PLACCI,13,ITA,9,1805.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/7n8canltkrlwjxiokbb26sabgxtw,1416,1730,lead,15,IFSC World Cup Koper 2025,2025-09-04T22:00:00.000Z,2025-09-06T21:59:00.000Z,1.0,240.0,240.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,1029,PLACCI Giovanni,Giovanni,PLACCI,13,ITA,9,1805.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/7n8canltkrlwjxiokbb26sabgxtw,1414,1727,lead,22,IFSC World Cup Chamonix 2025,2025-07-10T22:00:00.000Z,2025-07-13T21:59:00.000Z,1.0,130.0,130.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,912,SCHENK Filip,Filip,SCHENK,13,ITA,10,1780.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/t74ej1vw1yqmtd83v0ehb6j9qp05,1414,1727,lead,3,IFSC World Cup Chamonix 2025,2025-07-10T22:00:00.000Z,2025-07-13T21:59:00.000Z,1.0,690.0,690.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,912,SCHENK Filip,Filip,SCHENK,13,ITA,10,1780.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/t74ej1vw1yqmtd83v0ehb6j9qp05,1417,1731,lead,18,IFSC World Championships Seoul 2025,2025-09-20T15:00:00.000Z,2025-09-28T14:59:00.000Z,2.0,370.0,370.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,912,SCHENK Filip,Filip,SCHENK,13,ITA,10,1780.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/t74ej1vw1yqmtd83v0ehb6j9qp05,1416,1730,lead,11,IFSC World Cup Koper 2025,2025-09-04T22:00:00.000Z,2025-09-06T21:59:00.000Z,1.0,325.0,325.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,912,SCHENK Filip,Filip,SCHENK,13,ITA,10,1780.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/t74ej1vw1yqmtd83v0ehb6j9qp05,1454,1771,lead,12,IFSC World Cup Comunidad de Madrid 2025,2025-07-17T22:00:00.000Z,2025-07-19T21:59:00.000Z,1.0,300.0,300.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,912,SCHENK Filip,Filip,SCHENK,13,ITA,10,1780.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/t74ej1vw1yqmtd83v0ehb6j9qp05,1412,1725,lead,25,IFSC World Cup Innsbruck 2025,2025-06-24T22:00:00.000Z,2025-06-29T21:59:00.000Z,1.0,95.0,95.0,True
